Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Collar,Sleeve
پیراهن مردانه یقه سه سانت,https://corumofficial.com/product/2110107/?color=%d8%a2%d8%a8%db%8c,https://corumofficial.com/wp-content/uploads/2021/05/abi-2110107-1-5.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abi-2110107-1-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abi-2110107-1-2-2.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abi-2110107-1-3-2.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abi-2110107-1-4-2.jpg,[],[],[],9890000,8901000, سه سانت,بلند
پیراهن مردانه یقه سه سانت,https://corumofficial.com/product/2110107/?color=%d8%a2%d8%a8%db%8c-%d8%b1%d9%88%d8%b4%d9%86,https://corumofficial.com/wp-content/uploads/2021/05/abiroshan-2110107-2-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abiroshan-2110107-2-5.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abiroshan-2110107-2-2-2.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abiroshan-2110107-2-3-2.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abiroshan-2110107-2-4-2.jpg,[],[],[],9890000,8901000, سه سانت,بلند
پیراهن مردانه یقه سه سانت,https://corumofficial.com/product/2110108/?color=%d8%a2%d8%a8%db%8c-%d8%b3%d9%81%db%8c%d8%af,https://corumofficial.com/wp-content/uploads/2021/05/abisefid-2110108-5-4.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abisefid-2110108-5-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abisefid-2110108-5-2-2.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abisefid-2110108-5-3-2.jpg,[],[],[],[],9890000,8901000, سه سانت,بلند
پیراهن مردانه یقه سه سانت,https://corumofficial.com/product/2110108/?color=%d8%a2%d8%a8%db%8c-%d8%aa%db%8c%d8%b1%d9%87,https://corumofficial.com/wp-content/uploads/2021/05/abitire-2110108-1-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abitire-2110108-1-5.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abitire-2110108-1-2-2.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abitire-2110108-1-3-2.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abitire-2110108-1-4-2.jpg,[],[],[],9890000,8901000, سه سانت,بلند
پیراهن مردانه یقه سه سانت,https://corumofficial.com/product/2110108/?color=%d8%a2%d8%a8%db%8c,https://corumofficial.com/wp-content/uploads/2021/05/abi-2110108-3-5.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abi-2110108-3-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abi-2110108-3-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abi-2110108-3-4-1.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abi-2110108-3-3-1.jpg,[],[],[],9890000,8901000, سه سانت,بلند
پیراهن مردانه یقه سه سانت,https://corumofficial.com/product/2110108/?color=%d8%b3%d8%b1%d9%85%d9%87-%d8%a7%db%8c-%da%a9%d8%b1%d9%85,https://corumofficial.com/wp-content/uploads/2021/05/sormeiy-kerem-2110108-2-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/05/sormeiy-kerem-2110108-2-5.jpg,https://corumofficial.com/wp-content/uploads/2021/05/sormeiy-kerem-2110108-2-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/05/sormeiy-kerem-2110108-2-3-1.jpg,https://corumofficial.com/wp-content/uploads/2021/05/sormeiy-kerem-2110108-2-4-1.jpg,[],[],[],9890000,8901000, سه سانت,بلند
پیراهن مردانه یقه سه سانت,https://corumofficial.com/product/2110108/?color=%d8%a2%d8%a8%db%8c-%d8%b1%d9%88%d8%b4%d9%86,https://corumofficial.com/wp-content/uploads/2021/05/abiroshan-2110108-4-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abiroshan-2110108-4-5.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abiroshan-2110108-4-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abiroshan-2110108-4-3-1.jpg,https://corumofficial.com/wp-content/uploads/2021/05/abiroshan-2110108-4-4-1.jpg,[],[],[],9890000,8901000, سه سانت,بلند
پیراهن مردانه Double Cuff,https://corumofficial.com/product/2110103/?color=%d8%b3%d9%81%db%8c%d8%af,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110103-1-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110103-1-5.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110103-1-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110103-1-3-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110103-1-4-1.jpg,[],[],[],8890000,8001000,[],بلند
پیراهن مردانه,https://corumofficial.com/product/2110104/?color=%d8%b3%d9%81%db%8c%d8%af,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110104-1-1-3.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110104-1-5-2.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110104-1-2-3.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110104-1-3-3.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110104-1-4-3.jpg,[],[],[],8890000,8001000,[],بلند
پیراهن مردانه,https://corumofficial.com/product/2110104/?color=%d8%b3%d8%b1%d9%85%d9%87-%d8%a7%db%8c,https://corumofficial.com/wp-content/uploads/2021/04/sormeiy-2110104-2-5-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sormeiy-2110104-2-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sormeiy-2110104-2-2-2.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sormeiy-2110104-2-3-2.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sormeiy-2110104-2-4-2.jpg,[],[],[],8890000,8001000,[],بلند
پیراهن مردانه کتان,https://corumofficial.com/product/2110106/?color=%d8%b3%d9%81%db%8c%d8%af,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110106-1-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110106-1-5.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110106-1-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110106-1-3-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110106-1-4-1.jpg,[],[],[],8890000,8001000,[],بلند
پیراهن مردانه جودون,https://corumofficial.com/product/2020111/?color=%d8%a2%d8%a8%db%8c-%d8%aa%db%8c%d8%b1%d9%87,https://corumofficial.com/wp-content/uploads/2021/03/abitire-2020111-6-4.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abitire-2020111-6-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abitire-2020111-6-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abitire-2020111-6-3-1.jpg,[],[],[],[],9490000,8541000,[],بلند
پیراهن مردانه جودون,https://corumofficial.com/product/2020111/?color=%d8%a2%d8%a8%db%8c,https://corumofficial.com/wp-content/uploads/2021/03/abi-2020111-2-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abi-2020111-2-4.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abi-2020111-2-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abi-2020111-2-3-1.jpg,[],[],[],[],9490000,8541000,[],بلند
پیراهن مردانه جودون,https://corumofficial.com/product/2020111/?color=%d8%b3%d8%a8%d8%b2,https://corumofficial.com/wp-content/uploads/2021/03/sabz-2020111-1-4.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sabz-2020111-1-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sabz-2020111-1-2-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sabz-2020111-1-3-2.jpg,[],[],[],[],9490000,8541000,[],بلند
پیراهن مردانه جودون,https://corumofficial.com/product/2020111/?color=%d8%b3%d8%a8%d8%b2-%d8%b1%d9%88%d8%b4%d9%86,https://corumofficial.com/wp-content/uploads/2021/03/sabzroshan-2020111-3-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sabzroshan-2020111-3-5.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sabzroshan-2020111-3-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sabzroshan-2020111-3-3-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sabzroshan-2020111-3-4-1.jpg,[],[],[],9490000,8541000,[],بلند
پیراهن مردانه جودون,https://corumofficial.com/product/2020111/?color=%d8%b3%d9%81%db%8c%d8%af,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2020111-8-4.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2020111-8-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2020111-8-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2020111-8-3-1.jpg,[],[],[],[],9490000,8541000,[],بلند
پیراهن مردانه جودون,https://corumofficial.com/product/2020111/?color=%d8%b5%d9%88%d8%b1%d8%aa%db%8c,https://corumofficial.com/wp-content/uploads/2021/03/surati-2020111-5-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/surati-2020111-5-5.jpg,https://corumofficial.com/wp-content/uploads/2021/03/surati-2020111-5-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/surati-2020111-5-3-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/surati-2020111-5-4-1.jpg,[],[],[],9490000,8541000,[],بلند
پیراهن مردانه جودون,https://corumofficial.com/product/2020111/?color=%d8%a2%d8%a8%db%8c-%d8%b1%d9%88%d8%b4%d9%86,https://corumofficial.com/wp-content/uploads/2021/03/abiroshan-2020111-9-4.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abiroshan-2020111-9-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abiroshan-2020111-9-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abiroshan-2020111-9-3-1.jpg,[],[],[],[],9490000,8541000,[],بلند
پیراهن مردانه جودون,https://corumofficial.com/product/2020111/?color=%d9%85%d8%b4%da%a9%db%8c,https://corumofficial.com/wp-content/uploads/2021/03/meshki-2020111-4-5.jpg,https://corumofficial.com/wp-content/uploads/2021/03/meshki-2020111-4-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/meshki-2020111-4-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/meshki-2020111-4-3-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/meshki-2020111-4-4-1.jpg,[],[],[],9490000,8541000,[],بلند
پیراهن مردانه جودون,https://corumofficial.com/product/2020111/?color=%d8%b3%d8%b1%d9%85%d9%87-%d8%a7%db%8c,https://corumofficial.com/wp-content/uploads/2021/03/sormeiy-2020111-7-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sormeiy-2020111-7-5.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sormeiy-2020111-7-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sormeiy-2020111-7-3-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sormeiy-2020111-7-4-1.jpg,[],[],[],9490000,8541000,[],بلند
پیراهن مردانه,https://corumofficial.com/product/2120109/?color=%d8%b5%d9%88%d8%b1%d8%aa%db%8c,https://corumofficial.com/wp-content/uploads/2021/03/surati-2120109-1-4.jpg,https://corumofficial.com/wp-content/uploads/2021/03/surati-2120109-1-3-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/surati-2120109-1-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/surati-2120109-1-2-2.jpg,[],[],[],[],8890000,8001000,[],بلند
پیراهن مردانه طرح دار,https://corumofficial.com/product/2120106/?color=%d8%a2%d8%a8%db%8c-%d8%aa%db%8c%d8%b1%d9%87,https://corumofficial.com/wp-content/uploads/2021/03/abitire-2120106-1-5.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abitire-2120106-1-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abitire-2120106-1-2-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abitire-2120106-1-3-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/abitire-2120106-1-4-2.jpg,[],[],[],9890000,8901000,[],بلند
