Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Collar,Sleeve
تی شرت مردانه یقه گرد,https://corumofficial.com/product/2110602/?color=%d8%b3%d8%a8%d8%b2,https://corumofficial.com/wp-content/uploads/2021/04/sabz-2110602-1-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sabz-2110602-1-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sabz-2110602-1-3-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sabz-2110602-1-4-1.jpg,[],[],[],[],4890000,4401000, گرد,کوتاه
تی شرت مردانه یقه گرد,https://corumofficial.com/product/2110602/?color=%d8%b3%d9%81%db%8c%d8%af,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110602-2-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110602-2-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110602-2-3-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110602-2-4-1.jpg,[],[],[],[],4890000,4401000, گرد,کوتاه
تی شرت مردانه یقه گرد,https://corumofficial.com/product/2110602/?color=%d9%85%d8%b4%da%a9%db%8c,https://corumofficial.com/wp-content/uploads/2021/04/meshki-2110602-3-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/meshki-2110602-3-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/meshki-2110602-3-3-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/meshki-2110602-3-4-1.jpg,[],[],[],[],4890000,4401000, گرد,کوتاه
تی شرت مردانه یقه گرد طرح دار,https://corumofficial.com/product/2110607/?color=%d8%b3%d9%81%db%8c%d8%af,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110607-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110607-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110607-1-3.jpg,https://corumofficial.com/wp-content/uploads/2021/04/sefid-2110607-1-4.jpg,[],[],[],[],4290000,3861000, گرد طرح دار,کوتاه
تی شرت مردانه یقه گرد طرح دار,https://corumofficial.com/product/2110611/?color=%d8%b3%d9%81%db%8c%d8%af,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2110611-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2110611-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2110611-1-3.jpg,[],[],[],[],[],4290000,3861000, گرد طرح دار,کوتاه
تی شرت مردانه یقه گرد طرح دار,https://corumofficial.com/product/2110609/?color=%d8%b3%d9%81%db%8c%d8%af,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2110609-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2110609-1-4.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2110609-1-3.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2110609-1-1.jpg,[],[],[],[],4290000,3861000, گرد طرح دار,کوتاه
تی شرت مردانه یقه گرد چرمی,https://corumofficial.com/product/2110604/?color=%d8%b3%d8%a8%d8%b2,https://corumofficial.com/wp-content/uploads/2021/03/2110604-sabz-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/2110604-sabz-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/2110604-sabz-3-1.jpg,[],[],[],[],[],4290000,3861000, گرد چرمی,کوتاه
تی شرت مردانه یقه گرد چرمی,https://corumofficial.com/product/2110604/?color=%d8%b3%d9%81%db%8c%d8%af,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2110604-1-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2110604-1-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/sefid-2110604-1-3.jpg,[],[],[],[],[],4290000,3861000, گرد چرمی,کوتاه
تی شرت مردانه یقه گرد چرمی,https://corumofficial.com/product/2110604/?color=%d8%b7%d9%88%d8%b3%db%8c,https://corumofficial.com/wp-content/uploads/2021/03/toosi-2110604-2-1.jpg,https://corumofficial.com/wp-content/uploads/2021/03/toosi-2110604-2-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/toosi-2110604-2-3.jpg,https://corumofficial.com/wp-content/uploads/2021/03/toosi-2110604-2-4.jpg,[],[],[],[],4290000,3861000, گرد چرمی,کوتاه
تی شرت مردانه یقه گرد چرمی,https://corumofficial.com/product/2110604/?color=%d9%85%d8%b4%da%a9%db%8c,https://corumofficial.com/wp-content/uploads/2021/03/meshki-2110604-3-3.jpg,https://corumofficial.com/wp-content/uploads/2021/03/meshki-2110604-3-2.jpg,https://corumofficial.com/wp-content/uploads/2021/03/meshki-2110604-3-4.jpg,https://corumofficial.com/wp-content/uploads/2021/03/meshki-2110604-3-1.jpg,[],[],[],[],4290000,3861000, گرد چرمی,کوتاه
