Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Eleventh Image,Twelve Image,Price,Discounted Percent,Collar,Sleeve
/تیشرت-زنانه-طرح-نگاه-,https://www.digikala.com/product/dkp-1797518/تیشرت-زنانه-طرح-نگاه-کد-105,https://dkstatics-public.digikala.com/digikala-products/117487489.jpg,[],[],[],[],[],[],[],[],[],[],[],333000,25%,گرد,کوتاه
تیشرت-زنانه-طرح-آرزو,https://www.digikala.com/product/dkp-832100/تیشرت-زنانه-طرح-آرزو-کد-23,https://dkstatics-public.digikala.com/digikala-products/116807920.jpg,https://dkstatics-public.digikala.com/digikala-products/116807923.jpg,https://dkstatics-public.digikala.com/digikala-products/116807926.jpg,https://dkstatics-public.digikala.com/digikala-products/116807930.jpg,[],[],[],[],[],[],[],[],389000,%,گرد,کوتاه
/تیشرت-زنانه-طرح-شکوفه-,https://www.digikala.com/product/dkp-2441537/تیشرت-زنانه-طرح-شکوفه-کد-f10,https://dkstatics-public.digikala.com/digikala-products/119150388.jpg,[],[],[],[],[],[],[],[],[],[],[],305000,%,گرد,کوتاه
تیشرت-زنانه-طرح-سرنوشت-آرزو-عشق,https://www.digikala.com/product/dkp-833450/تیشرت-زنانه-طرح-سرنوشت-آرزو-عشق-کد-55,https://dkstatics-public.digikala.com/digikala-products/116808521.jpg,https://dkstatics-public.digikala.com/digikala-products/116808526.jpg,https://dkstatics-public.digikala.com/digikala-products/116808535.jpg,https://dkstatics-public.digikala.com/digikala-products/116808538.jpg,[],[],[],[],[],[],[],[],375000,%,گرد,کوتاه
/تیشرت-زنانه-27-طرح-دختر-کد,https://www.digikala.com/product/dkp-2849657/تیشرت-زنانه-27-طرح-دختر-کد-mp222,https://dkstatics-public.digikala.com/digikala-products/121255311.jpg,https://dkstatics-public.digikala.com/digikala-products/121255312.jpg,[],[],[],[],[],[],[],[],[],[],640000,%,گرد,کوتاه
/تیشرت-زنانه-کد,https://www.digikala.com/product/dkp-2741040/تیشرت-زنانه-کد-p0003,https://dkstatics-public.digikala.com/digikala-products/120773909.jpg,[],[],[],[],[],[],[],[],[],[],[],259000,%,باز,بدون
/تیشرت-زنانه-مدل-make,https://www.digikala.com/product/dkp-2230220/تیشرت-زنانه-مدل-make-happy,https://dkstatics-public.digikala.com/digikala-products/117683465.jpg,[],[],[],[],[],[],[],[],[],[],[],276000,%,گرد,کوتاه
/تیشرت-آستین-کوتاه-زنانه-طرح-پروانه-ک,https://www.digikala.com/product/dkp-3120229/تیشرت-آستین-کوتاه-زنانه-طرح-پروانه-کد-f720,https://dkstatics-public.digikala.com/digikala-products/d8b350b7f45afb360d0ea96dc98dd2acae1e2f67_1595312493.jpg,[],[],[],[],[],[],[],[],[],[],[],304000,%,گرد,کوتاه
تیشرت-زنانه-طرح-قاصدک-و-آرزو,https://www.digikala.com/product/dkp-834606/تیشرت-زنانه-طرح-قاصدک-و-آرزو-کد-73,https://dkstatics-public.digikala.com/digikala-products/116809293.jpg,https://dkstatics-public.digikala.com/digikala-products/116809298.jpg,https://dkstatics-public.digikala.com/digikala-products/116809303.jpg,https://dkstatics-public.digikala.com/digikala-products/116809304.jpg,[],[],[],[],[],[],[],[],349000,%,گرد,کوتاه
/تیشرت-زنانه-اچ-اند-ام-کد,https://www.digikala.com/product/dkp-3121410/تیشرت-زنانه-اچ-اند-ام-کد-00231,https://dkstatics-public.digikala.com/digikala-products/dd0dd2600861cc1daa03a3924ea2258837b262af_1595321876.jpg,https://dkstatics-public.digikala.com/digikala-products/315656b06f45a4613e0b41db6ae03881139f1f0e_1595409389.jpg,[],[],[],[],[],[],[],[],[],[],3190000,%,گرد,کوتاه
