Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Eleventh Image,Twelve Image,Price,Discounted Percent,Collar,Sleeve
/شلوار-مردانه-مدل-,https://www.digikala.com/product/dkp-4121973/شلوار-مردانه-مدل-شش-جیب,https://dkstatics-public.digikala.com/digikala-products/c6565db68bebfa567bf58c0bf44f2b3385fcca52_1609298125.jpg,https://dkstatics-public.digikala.com/digikala-products/d51b5f8c83a4cfe7a0c7a1e6aa468bd36b36e569_1609298118.jpg,https://dkstatics-public.digikala.com/digikala-products/0c74b4a03e4424da562d6330331d13238538e4eb_1609298121.jpg,https://dkstatics-public.digikala.com/digikala-products/4fee4a2394e1d51902bda1dfa3c5430b95c2e9cc_1609298116.jpg,[],[],[],[],[],[],[],[],1550000,37%,[],کوتاه
/شلوار-مردانه-کد-rr,https://www.digikala.com/product/dkp-3648112/شلوار-مردانه-کد-rr-40634,https://dkstatics-public.digikala.com/digikala-products/3a8e3bb787b6f44107f378ae507fd2d26c3addd3_1604091447.jpg,https://dkstatics-public.digikala.com/digikala-products/2924a7e85a74fc73d586ff12333a82bf0d9c4ee3_1604091442.jpg,https://dkstatics-public.digikala.com/digikala-products/3d178c219fefd5d8a3b0bbb48307be4369843a52_1604091434.jpg,https://dkstatics-public.digikala.com/digikala-products/4fee4a2394e1d51902bda1dfa3c5430b95c2e9cc_1604091595.jpg,[],[],[],[],[],[],[],[],1550000,26%,[],کوتاه
/شلوار-مردانه-مدل-,https://www.digikala.com/product/dkp-4121968/شلوار-مردانه-مدل-شش-جیب,https://dkstatics-public.digikala.com/digikala-products/ecf1cb0fd12e2e544f885bdb8c8e649a7fe3ed1d_1609297858.jpg,https://dkstatics-public.digikala.com/digikala-products/c6c182f9e981c0fae397e895cbb7839d79683f5e_1609297844.jpg,https://dkstatics-public.digikala.com/digikala-products/8a03a90ea3654cf788f974ba8eb8f6dc91fa9022_1609297854.jpg,https://dkstatics-public.digikala.com/digikala-products/4fee4a2394e1d51902bda1dfa3c5430b95c2e9cc_1609297860.jpg,[],[],[],[],[],[],[],[],1570000,38%,[],کوتاه
شلوار-مردانه-مدل-اسل,https://www.digikala.com/product/dkp-799289/شلوار-مردانه-مدل-اسلش-کد01,https://dkstatics-public.digikala.com/digikala-products/3648867.jpg,[],[],[],[],[],[],[],[],[],[],[],1030000,%,[],کوتاه
/شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932,https://www.digikala.com/product/dkp-4544038/شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932nw-69f,https://dkstatics-public.digikala.com/digikala-products/5071bb45d122840976ea21b458b72cd98f2f2cc1_1614492378.jpg,https://dkstatics-public.digikala.com/digikala-products/92dae719c1c2ba6d8a1a62c5edb9989aef912f2d_1614492382.jpg,https://dkstatics-public.digikala.com/digikala-products/2d9b09ee8b12318ae67b9340cb6c24033e338af3_1614492383.jpg,https://dkstatics-public.digikala.com/digikala-products/289669473b3eb75011c2df629a25482d82517e16_1614492384.jpg,https://dkstatics-public.digikala.com/digikala-products/82921a6768dfcab21d56349c99462537e31ebfde_1614492386.jpg,[],[],[],[],[],[],[],5900000,60%,[],کوتاه
/شلوار-مردانه-فتوحی-کد-rr,https://www.digikala.com/product/dkp-3879307/شلوار-مردانه-فتوحی-کد-rr-40700,https://dkstatics-public.digikala.com/digikala-products/6b3cd4ff84b4b7728bb4c7c8a9bdb6b1051fefb2_1606767131.jpg,https://dkstatics-public.digikala.com/digikala-products/c918c51928b3513af77131525566be5d24e20328_1606767133.jpg,https://dkstatics-public.digikala.com/digikala-products/2c36f8bc7438fece1b27c49c1462c2b22912ed91_1606767130.jpg,[],[],[],[],[],[],[],[],[],1500000,27%,[],کوتاه
شلوار-مردانه-مدل-اسلش,https://www.digikala.com/product/dkp-799292/شلوار-مردانه-مدل-اسلش-کد-02,https://dkstatics-public.digikala.com/digikala-products/3648877.jpg,[],[],[],[],[],[],[],[],[],[],[],1040000,%,[],کوتاه
/شلوار-مردانه-کد-124-رن,https://www.digikala.com/product/dkp-1893870/شلوار-مردانه-کد-124-رنگ-مشکی,https://dkstatics-public.digikala.com/digikala-products/96d1b0c8e0610aa68f00674187d129d79ecf3a4a_1617607546.jpg,https://dkstatics-public.digikala.com/digikala-products/112642146.jpg,https://dkstatics-public.digikala.com/digikala-products/112642153.jpg,https://dkstatics-public.digikala.com/digikala-products/112642157.jpg,https://dkstatics-public.digikala.com/digikala-products/112642164.jpg,[],[],[],[],[],[],[],1025000,14%,[],کوتاه
/شلوار-مردانه-کد-tro-cot-13-رن,https://www.digikala.com/product/dkp-1874667/شلوار-مردانه-کد-tro-cot-13-رنگ-طوسی,https://dkstatics-public.digikala.com/digikala-products/112538435.jpg,https://dkstatics-public.digikala.com/digikala-products/112538436.jpg,https://dkstatics-public.digikala.com/digikala-products/112541342.jpg,[],[],[],[],[],[],[],[],[],2090000,26%,[],کوتاه
/شلوار-مردانه-کوتون-مدل-8yam41932,https://www.digikala.com/product/dkp-4170667/شلوار-مردانه-کوتون-مدل-8yam41932nw-c24,https://dkstatics-public.digikala.com/digikala-products/6c9326d80c5c431040257e311769da903307565d_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/6a57be731e27e41c5861d68ffdc1ed4b1305b17c_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/35e40d2d336e0981f4a5839cce9aaa90a85ee47b_1610449979.jpg,https://dkstatics-public.digikala.com/digikala-products/511a4b94ccc4f91c2a21269553dc3543ba4770d0_1610449981.jpg,https://dkstatics-public.digikala.com/digikala-products/4eb2208e79be049727e4683732b2e8213a581465_1610450001.jpg,[],[],[],[],[],[],[],5900000,60%,[],کوتاه
شلوار-اسلش-مردانه-مد,https://www.digikala.com/product/dkp-704150/شلوار-اسلش-مردانه-مدل-1803,https://dkstatics-public.digikala.com/digikala-products/3180621.jpg,https://dkstatics-public.digikala.com/digikala-products/3180628.jpg,https://dkstatics-public.digikala.com/digikala-products/3180636.jpg,[],[],[],[],[],[],[],[],[],890000,%,[],کوتاه
/شلوار-مردانه-ال-سی-وایکیکی-مدل-5kb181,https://www.digikala.com/product/dkp-4194392/شلوار-مردانه-ال-سی-وایکیکی-مدل-5kb181z8-e1j,https://dkstatics-public.digikala.com/digikala-products/60cce52c59c5740b4b008b128dff8adfc6b99c2c_1610439983.jpg,https://dkstatics-public.digikala.com/digikala-products/dc7037e649ae2737cf307a9295cb67836bb81907_1610439987.jpg,https://dkstatics-public.digikala.com/digikala-products/38a849ccc69f2419e41fc296e9b271f9a3d812ae_1610439989.jpg,https://dkstatics-public.digikala.com/digikala-products/2e5dd58242405d16a5a7c21dea0fdaa642ed7b84_1610439980.jpg,[],[],[],[],[],[],[],[],7690000,60%,[],کوتاه
/شلوار-مردانه-دیان-کد-414-رن,https://www.digikala.com/product/dkp-2333693/شلوار-مردانه-دیان-کد-414-رنگ-مشکی,https://dkstatics-public.digikala.com/digikala-products/115161541.jpg,https://dkstatics-public.digikala.com/digikala-products/115161539.jpg,https://dkstatics-public.digikala.com/digikala-products/115632682.jpg,[],[],[],[],[],[],[],[],[],1780000,19%,[],کوتاه
/شلوار-مردانه-کوتون-مدل-8yam41927,https://www.digikala.com/product/dkp-4170781/شلوار-مردانه-کوتون-مدل-8yam41927nw-69f,https://dkstatics-public.digikala.com/digikala-products/0e3d161f21f8ed53d5280efa13ae5b8809d4665c_1610453946.jpg,https://dkstatics-public.digikala.com/digikala-products/0321b00012db1038bbe9e03f6cdcabb1606eaa8b_1610453952.jpg,https://dkstatics-public.digikala.com/digikala-products/c18db1fb3c58092986aefb7d53138b0974bc2499_1610453953.jpg,https://dkstatics-public.digikala.com/digikala-products/19cbcd48d32ac827608480bf32c135c2a44fd134_1610453955.jpg,[],[],[],[],[],[],[],[],6490000,60%,[],کوتاه
/شلوار-مردانه-,https://www.digikala.com/product/dkp-1919336/شلوار-مردانه-کد-131,https://dkstatics-public.digikala.com/digikala-products/b5384a8603a40e74ba94d090d16b2dde82e11279_1617607580.jpg,https://dkstatics-public.digikala.com/digikala-products/112780791.jpg,https://dkstatics-public.digikala.com/digikala-products/112780793.jpg,https://dkstatics-public.digikala.com/digikala-products/112780797.jpg,https://dkstatics-public.digikala.com/digikala-products/112780798.jpg,https://dkstatics-public.digikala.com/digikala-products/112780799.jpg,https://dkstatics-public.digikala.com/digikala-products/112780801.jpg,https://dkstatics-public.digikala.com/digikala-products/dd898c8f5ab9f2a083335d5eb052226c29e2c26c_1593939677.jpg,[],[],[],[],1500000,5%,[],کوتاه
/شلوار-مردانه-کد-123-رنگ-س,https://www.digikala.com/product/dkp-1894014/شلوار-مردانه-کد-123-رنگ-سرمه-ای,https://dkstatics-public.digikala.com/digikala-products/112642603.jpg,https://dkstatics-public.digikala.com/digikala-products/112642596.jpg,https://dkstatics-public.digikala.com/digikala-products/112642607.jpg,[],[],[],[],[],[],[],[],[],1000000,12%,[],کوتاه
شلوار-پارچه-ای-مردانه-ادری,https://www.digikala.com/product/dkp-918076/شلوار-پارچه-ای-مردانه-ادریس-کد-8,https://dkstatics-public.digikala.com/digikala-products/4287508.jpg,https://dkstatics-public.digikala.com/digikala-products/4287533.jpg,https://dkstatics-public.digikala.com/digikala-products/4287514.jpg,https://dkstatics-public.digikala.com/digikala-products/4287524.jpg,https://dkstatics-public.digikala.com/digikala-products/4287511.jpg,[],[],[],[],[],[],[],950000,%,[],کوتاه
شلوار-مردانه-ادریس,https://www.digikala.com/product/dkp-946716/شلوار-مردانه-ادریس-مدل-9,https://dkstatics-public.digikala.com/digikala-products/e65324bdb53980646c9424bd7a9859ce4e980bca_1617606173.jpg,https://dkstatics-public.digikala.com/digikala-products/4420086.jpg,https://dkstatics-public.digikala.com/digikala-products/4420088.jpg,https://dkstatics-public.digikala.com/digikala-products/4420089.jpg,https://dkstatics-public.digikala.com/digikala-products/4420090.jpg,https://dkstatics-public.digikala.com/digikala-products/4440770.jpg,[],[],[],[],[],[],1850000,22%,[],کوتاه
شلوار-مردانه-6-جیب-,https://www.digikala.com/product/dkp-432213/شلوار-مردانه-6-جیب-مدل-02,https://dkstatics-public.digikala.com/digikala-products/2079286.jpg,https://dkstatics-public.digikala.com/digikala-products/2079366.jpg,https://dkstatics-public.digikala.com/digikala-products/2079437.jpg,[],[],[],[],[],[],[],[],[],4000000,%,[],کوتاه
/شلوار-مردانه-دیان-کد-,https://www.digikala.com/product/dkp-2564907/شلوار-مردانه-دیان-کد-s-t252,https://dkstatics-public.digikala.com/digikala-products/119824894.jpg,https://dkstatics-public.digikala.com/digikala-products/119824898.jpg,https://dkstatics-public.digikala.com/digikala-products/119824902.jpg,https://dkstatics-public.digikala.com/digikala-products/119824908.jpg,https://dkstatics-public.digikala.com/digikala-products/119824912.jpg,[],[],[],[],[],[],[],900000,17%,[],کوتاه
/شلوار-جین-مردانه-کد,https://www.digikala.com/product/dkp-1004111/شلوار-جین-مردانه-کد-97-62,https://dkstatics-public.digikala.com/digikala-products/4714778.jpg,https://dkstatics-public.digikala.com/digikala-products/4714781.jpg,https://dkstatics-public.digikala.com/digikala-products/4714784.jpg,https://dkstatics-public.digikala.com/digikala-products/4714787.jpg,https://dkstatics-public.digikala.com/digikala-products/4714790.jpg,[],[],[],[],[],[],[],2374900,%,[],کوتاه
/شلوار-مردانه-فتوحی-کد-rr,https://www.digikala.com/product/dkp-3879373/شلوار-مردانه-فتوحی-کد-rr-40702,https://dkstatics-public.digikala.com/digikala-products/dd5c9a6e2a7fc6463deaf2f53216bbb09463e316_1606767661.jpg,https://dkstatics-public.digikala.com/digikala-products/58b1c1c1104bc0988340d502a73f4fb30de79fee_1606767662.jpg,https://dkstatics-public.digikala.com/digikala-products/2c36f8bc7438fece1b27c49c1462c2b22912ed91_1606767660.jpg,[],[],[],[],[],[],[],[],[],1180000,16%,[],کوتاه
/شلوار-مردانه-کوتون-مدل-8yam41970,https://www.digikala.com/product/dkp-4170908/شلوار-مردانه-کوتون-مدل-8yam41970nw-616,https://dkstatics-public.digikala.com/digikala-products/92de60646741948bafb028b84da2d99bc84e6f8a_1610449739.jpg,https://dkstatics-public.digikala.com/digikala-products/a365594ee6eea2401afab45d313f1dbc9338c6b6_1610449740.jpg,https://dkstatics-public.digikala.com/digikala-products/a069feb3558628f04f7951ff8f30cb2ff898a36c_1610449741.jpg,https://dkstatics-public.digikala.com/digikala-products/c596e0e4a156904888a5a1cca565fe8f949b0fc1_1610449743.jpg,https://dkstatics-public.digikala.com/digikala-products/a0ac6b57e9371ead3f22884af9262697e3030ee2_1610449742.jpg,[],[],[],[],[],[],[],7900000,60%,[],کوتاه
/شلوار-مردانه-ال-سی-وایکیکی-مدل-8s0795,https://www.digikala.com/product/dkp-4168962/شلوار-مردانه-ال-سی-وایکیکی-مدل-8s0795z8-309,https://dkstatics-public.digikala.com/digikala-products/a728654beae3fa988921fd8054c45cc3cff28f02_1610536192.jpg,https://dkstatics-public.digikala.com/digikala-products/8d73fbd75503e65552335498d0fade4be8ecbaf1_1610536193.jpg,https://dkstatics-public.digikala.com/digikala-products/765efaa039520d6c799437325d104d1b49c0de3a_1610536194.jpg,https://dkstatics-public.digikala.com/digikala-products/7837af085a2669540d12583c9ed17ac7d044e189_1610536195.jpg,https://dkstatics-public.digikala.com/digikala-products/18b97c32d2ffeec0e7ea26064362035a08b7630b_1610536196.jpg,[],[],[],[],[],[],[],8290000,60%,[],کوتاه
/شلوار-مردانه-مدل-rr,https://www.digikala.com/product/dkp-4225859/شلوار-مردانه-مدل-rr-40776,https://dkstatics-public.digikala.com/digikala-products/ef4a2d89c2fdf91390400291a3aaa0f20e6cbcc8_1610492299.jpg,https://dkstatics-public.digikala.com/digikala-products/4fee4a2394e1d51902bda1dfa3c5430b95c2e9cc_1610492649.jpg,[],[],[],[],[],[],[],[],[],[],1550000,36%,[],کوتاه
