Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Eleventh Image,Twelve Image,Price,Discounted Percent,Collar,Sleeve
/پیراهن-مردانه-مدل-,https://www.digikala.com/product/dkp-3244777/پیراهن-مردانه-مدل-bn9999,https://dkstatics-public.digikala.com/digikala-products/6eefd37de2efb925b64fab18a8dd18f0c8c1ae6a_1597527803.jpg,https://dkstatics-public.digikala.com/digikala-products/7ba41b701708d4e49b5e0299fcc6b1ca2183b1a7_1597527805.jpg,https://dkstatics-public.digikala.com/digikala-products/9b2225d18411222fdeac13968c80a6ae2d2c31aa_1597527806.jpg,[],[],[],[],[],[],[],[],[],980000,%,برگردان,بلند
/پیراهن-نخی-آستین-بلند-,https://www.digikala.com/product/dkp-1345984/پیراهن-نخی-آستین-بلند-مردانه,https://dkstatics-public.digikala.com/digikala-products/117108414.jpg,https://dkstatics-public.digikala.com/digikala-products/117108417.jpg,[],[],[],[],[],[],[],[],[],[],19900000,%,[],بلند
/پیراهن-مردانه-مدل-,https://www.digikala.com/product/dkp-2912790/پیراهن-مردانه-مدل-rm9937,https://dkstatics-public.digikala.com/digikala-products/121569632.jpg,https://dkstatics-public.digikala.com/digikala-products/121569633.jpg,https://dkstatics-public.digikala.com/digikala-products/15f0850b0580a4b6c70769f58263419ea61b790d_1597843285.jpg,[],[],[],[],[],[],[],[],[],910000,%,برگردان,بلند
/پیراهن-مردانه-مدل-l,https://www.digikala.com/product/dkp-3349426/پیراهن-مردانه-مدل-li10016,https://dkstatics-public.digikala.com/digikala-products/78d99451ef6ec6490612fa29d18c866ec26ac4b3_1599378849.jpg,https://dkstatics-public.digikala.com/digikala-products/4968caae9bfb7ffeceff2b2f9d18b4640bd73483_1599378847.jpg,https://dkstatics-public.digikala.com/digikala-products/595cb6089caac87e38dae53729579e2b53dcdaf1_1599378850.jpg,[],[],[],[],[],[],[],[],[],1400000,23%,برگردان,بلند
پیراهن-مردانه-ناوالس-مدلvi,https://www.digikala.com/product/dkp-596861/پیراهن-مردانه-ناوالس-مدلvip-n-wh,https://dkstatics-public.digikala.com/digikala-products/116701242.jpg,[],[],[],[],[],[],[],[],[],[],[],1940000,20%,[],بلند
/پیراهن-آستین-بلند-مردانه-کوتون-مدل-8yam69282,https://www.digikala.com/product/dkp-4170293/پیراهن-آستین-بلند-مردانه-کوتون-مدل-8yam69282vw-740,https://dkstatics-public.digikala.com/digikala-products/d8a6c8f02939af509ba5ccfe9c48566afc37b164_1610353920.jpg,https://dkstatics-public.digikala.com/digikala-products/2e551f0cf731b9e522d87a62b12a899a78d40d97_1610353920.jpg,https://dkstatics-public.digikala.com/digikala-products/2311b1464ff82532efb5a1100a054000d01574f0_1610353921.jpg,https://dkstatics-public.digikala.com/digikala-products/706044baa0773b97c59f4ef50e023c390523bc96_1610353922.jpg,https://dkstatics-public.digikala.com/digikala-products/8f6c63bf013232b7d5802c262108941ed3f1bbfd_1610353923.jpg,[],[],[],[],[],[],[],5900000,%,برگردان,بلند
/پیراهن-آستین-کوتاه-مردانه-زی-مدل-153,https://www.digikala.com/product/dkp-4177513/پیراهن-آستین-کوتاه-مردانه-زی-مدل-153139359,https://dkstatics-public.digikala.com/digikala-products/626f76758274239d192b5c6598c0ed668ce03a1c_1610200539.jpg,https://dkstatics-public.digikala.com/digikala-products/c6f5155632bca4d73e9d287cd703a4205978df85_1610200545.jpg,https://dkstatics-public.digikala.com/digikala-products/e121481d1c63f58c481b95eb621169f5ea720d94_1610200543.jpg,https://dkstatics-public.digikala.com/digikala-products/5fa2e91e4597fef7d3b2995d851bb8de299f201b_1610200546.jpg,https://dkstatics-public.digikala.com/digikala-products/a60d01ce8e013ec7bb72162270ce21bd3fad6c6b_1610200548.jpg,https://dkstatics-public.digikala.com/digikala-products/b268fd189a3139e534f14add7100d1933ab683c2_1614161298.jpg,[],[],[],[],[],[],2400000,%,برگردان,کوتاه
/پیراهن-مردانه-مدل-l,https://www.digikala.com/product/dkp-2908019/پیراهن-مردانه-مدل-li59926,https://dkstatics-public.digikala.com/digikala-products/121543529.jpg,https://dkstatics-public.digikala.com/digikala-products/121543523.jpg,https://dkstatics-public.digikala.com/digikala-products/121543682.jpg,[],[],[],[],[],[],[],[],[],1100000,%,برگردان,بلند
/پیراهن-مردانه-پازو-,https://www.digikala.com/product/dkp-1539708/پیراهن-مردانه-پازو-کد-l-b,https://dkstatics-public.digikala.com/digikala-products/117355808.jpg,https://dkstatics-public.digikala.com/digikala-products/117355816.jpg,https://dkstatics-public.digikala.com/digikala-products/117355827.jpg,https://dkstatics-public.digikala.com/digikala-products/117355818.jpg,https://dkstatics-public.digikala.com/digikala-products/117355823.jpg,https://dkstatics-public.digikala.com/digikala-products/117355825.jpg,https://dkstatics-public.digikala.com/digikala-products/117355832.jpg,https://dkstatics-public.digikala.com/digikala-products/117355838.jpg,[],[],[],[],1560000,37%,برگردان,بلند
/پیراهن-مردانه-مدل-b,https://www.digikala.com/product/dkp-3277449/پیراهن-مردانه-مدل-bn10011,https://dkstatics-public.digikala.com/digikala-products/9cf978ab7c21b9649f22101fdf9b20264b66fd3e_1598083723.jpg,https://dkstatics-public.digikala.com/digikala-products/f68cb20eb1a54df8f561e2ef1114c830233231ad_1598083723.jpg,https://dkstatics-public.digikala.com/digikala-products/15f0850b0580a4b6c70769f58263419ea61b790d_1598083721.jpg,[],[],[],[],[],[],[],[],[],1030000,%,برگردان,بلند
