Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Eleventh Image,Twelve Image,Price,Discounted Percent,Collar,Sleeve
/ست-سویشرت-و-شلوار-ورزشی-مردانه-مدل-دو,https://www.digikala.com/product/dkp-3888357/ست-سویشرت-و-شلوار-ورزشی-مردانه-مدل-دورتموند,https://dkstatics-public.digikala.com/digikala-products/9893aacdb05a07a6f2e0851e1e76dbb8db48c03a_1606850596.jpg,https://dkstatics-public.digikala.com/digikala-products/4cd8cff078eb5dcc54cd00ef6e6c0a3c69e6e5cd_1606850598.jpg,[],[],[],[],[],[],[],[],[],[],4600000,48%,[],کوتاه
/ست-سویشرت-و-شلوار-ورزشی-مردانه-م,https://www.digikala.com/product/dkp-4121364/ست-سویشرت-و-شلوار-ورزشی-مردانه-مدل-bg1,https://dkstatics-public.digikala.com/digikala-products/7d5440493f300a81353a172bb133f1a4943abaa8_1609275090.jpg,https://dkstatics-public.digikala.com/digikala-products/682622db2aae0f35c550056a47913b5ce9a74dc3_1609275084.jpg,https://dkstatics-public.digikala.com/digikala-products/643e508dcba1321cb26e11e8f536a489a7313469_1609275419.jpg,[],[],[],[],[],[],[],[],[],4800000,48%,[],کوتاه
/ست-سویشرت-و-شلوار-ورزشی-مردانه-مدل-ارا-کد-33,https://www.digikala.com/product/dkp-3368140/ست-سویشرت-و-شلوار-ورزشی-مردانه-مدل-ارا-کد-33090-72,https://dkstatics-public.digikala.com/digikala-products/6c78d09ede6547e5e6d11543d77d4437be184338_1599634763.jpg,https://dkstatics-public.digikala.com/digikala-products/6c78d09ede6547e5e6d11543d77d4437be184338_1599634671.jpg,https://dkstatics-public.digikala.com/digikala-products/50f3a7d7315b7e7624514cdacc6ac0881e6c3a50_1599634684.jpg,https://dkstatics-public.digikala.com/digikala-products/46aa5737c7abde2e83f59633bad0914907e2fb6c_1599634697.jpg,https://dkstatics-public.digikala.com/digikala-products/9022d086f1841ce8450bc88d3ecc3f1fdc87c4ff_1599634716.jpg,https://dkstatics-public.digikala.com/digikala-products/b60287b749b1bb6f8a431429a287c413cf73a73b_1599634756.jpg,https://dkstatics-public.digikala.com/digikala-products/9c6d6ed0546b9a40dc45daf0af9d04791c214d2b_1599634653.jpg,https://dkstatics-public.digikala.com/digikala-products/2eb3000beda9948a75b606df194e9721bd1d6f51_1599634641.jpg,https://dkstatics-public.digikala.com/digikala-products/e971b72174c06a09ad42c36571c3a446d65717f9_1599716363.jpg,https://dkstatics-public.digikala.com/digikala-products/86cae1c85a65318c71f8a6e137a62c612e9620fb_1599716365.jpg,[],[],5500000,%,[],کوتاه
/تیشرت-ورزشی-مردانه-طرح-ا,https://www.digikala.com/product/dkp-2833983/تیشرت-ورزشی-مردانه-طرح-استقلال,https://dkstatics-public.digikala.com/digikala-products/121180257.jpg,https://dkstatics-public.digikala.com/digikala-products/121180262.jpg,https://dkstatics-public.digikala.com/digikala-products/121224927.jpg,[],[],[],[],[],[],[],[],[],560000,20%,گرد,کوتاه
/شلوارک-ورزشی-مردانه-ویلسون-مدل-ریت,https://www.digikala.com/product/dkp-3550526/شلوارک-ورزشی-مردانه-ویلسون-مدل-ریتا-کد-1,https://dkstatics-public.digikala.com/digikala-products/4ba700d26a97ceb30760d41fed1bc9117cb24697_1602589309.jpg,https://dkstatics-public.digikala.com/digikala-products/7c525c2098b945be8dece5f261b8b688fe41ffc3_1602589305.jpg,https://dkstatics-public.digikala.com/digikala-products/adcd20661b0d280c28466cf91a3bd7ff8951c217_1602589300.jpg,https://dkstatics-public.digikala.com/digikala-products/73a6c686fe436a1f7f36031c76388ce11b2de49d_1602589313.jpg,[],[],[],[],[],[],[],[],1200000,38%,[],کوتاه
ست-گرمکن-و-شلوار-مردانه-1991-اس-دبلیو-مدل-bresident-blackda,https://www.digikala.com/product/dkp-604927/ست-گرمکن-و-شلوار-مردانه-1991-اس-دبلیو-مدل-bresident-blackdarkgray,https://dkstatics-public.digikala.com/digikala-products/2547737.jpg,[],[],[],[],[],[],[],[],[],[],[],4430000,50%,[],[]
/تیشرت-ورزشی-مردانه-طرح-پر,https://www.digikala.com/product/dkp-2833981/تیشرت-ورزشی-مردانه-طرح-پرسپولیس,https://dkstatics-public.digikala.com/digikala-products/121180254.jpg,https://dkstatics-public.digikala.com/digikala-products/121180241.jpg,https://dkstatics-public.digikala.com/digikala-products/121252384.jpg,[],[],[],[],[],[],[],[],[],584000,20%,گرد,کوتاه
/شلوار-ورزشی-مردانه-مدل-کینگستون-,https://www.digikala.com/product/dkp-3183585/شلوار-ورزشی-مردانه-مدل-کینگستون-کد-001,https://dkstatics-public.digikala.com/digikala-products/7d2ceae52a71fae68efb738c01316d13ee4c9552_1596436344.jpg,https://dkstatics-public.digikala.com/digikala-products/2fcbddd180283ed8aafdbe22db8c8ccb5311889c_1596436387.jpg,https://dkstatics-public.digikala.com/digikala-products/e95e1964df77cb66e6fb32d34d3e643d4b08fde7_1596518663.jpg,[],[],[],[],[],[],[],[],[],2350000,%,[],کوتاه
/شلوارک-ورزشی-مردانه-ویلسون-مدل-ریت,https://www.digikala.com/product/dkp-4051131/شلوارک-ورزشی-مردانه-ویلسون-مدل-ریتا-کد-2,https://dkstatics-public.digikala.com/digikala-products/29e086ceb0dd1114d6171b53ea81bb48ac1b570a_1608715771.jpg,[],[],[],[],[],[],[],[],[],[],[],1200000,38%,[],کوتاه
/ست-تی-شرت-و-شلوارک-ورزشی-مردانه-طرح-یوونتوس-مدل-,https://www.digikala.com/product/dkp-3553754/ست-تی-شرت-و-شلوارک-ورزشی-مردانه-طرح-یوونتوس-مدل-2-2021,https://dkstatics-public.digikala.com/digikala-products/54e90199ca8b677dba94b20ed61cd5d85d80461c_1602625669.jpg,https://dkstatics-public.digikala.com/digikala-products/723e94b248a370cd083f197083b5ba1f3a1a6341_1602626091.jpg,[],[],[],[],[],[],[],[],[],[],880000,%,[],کوتاه
