Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Eleventh Image,Twelve Image,Price,Discounted Percent,Collar,Sleeve
/تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jst,https://www.digikala.com/product/dkp-4328235/تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jstz-0922,https://dkstatics-public.digikala.com/digikala-products/546e6e0fdb06239f848dbc8b0751394b630a2238_1611732860.jpg,https://dkstatics-public.digikala.com/digikala-products/4f5a9775eb2a16b459ebf279146ea6e1ff8b9ef4_1611732858.jpg,https://dkstatics-public.digikala.com/digikala-products/fb7127f6153186b59afd56af3e590875ac37f515_1611732859.jpg,[],[],[],[],[],[],[],[],[],77700000,5%,گرد,کوتاه
/تیشرت-آستین-کوتاه-مردانه-ویلسون-مدل-ریت,https://www.digikala.com/product/dkp-3550493/تیشرت-آستین-کوتاه-مردانه-ویلسون-مدل-ریتا-کد-2,https://dkstatics-public.digikala.com/digikala-products/41c64ba26cb8b9e64fc6caf7e401f94f44b20c6f_1602589122.jpg,https://dkstatics-public.digikala.com/digikala-products/fd10cd1edaeaf0a0ab5296f8f19a4c0ff4eaed1d_1602589117.jpg,https://dkstatics-public.digikala.com/digikala-products/f3d940494e0c6ead43cbef3bf122f4470b523c5e_1602589126.jpg,[],[],[],[],[],[],[],[],[],2000000,53%,گرد,کوتاه
تیشرت-آستین-کوتاه-مردانه-م,https://www.digikala.com/product/dkp-623353/تیشرت-آستین-کوتاه-مردانه-مدل-t48,https://dkstatics-public.digikala.com/digikala-products/116713290.jpg,https://dkstatics-public.digikala.com/digikala-products/116713295.jpg,[],[],[],[],[],[],[],[],[],[],650000,%,گرد,کوتاه
/تیشرت-آستین-بلند-مردانه-,https://www.digikala.com/product/dkp-1062119/تیشرت-آستین-بلند-مردانه-کد-3bl,https://dkstatics-public.digikala.com/digikala-products/116904085.jpg,https://dkstatics-public.digikala.com/digikala-products/116904078.jpg,[],[],[],[],[],[],[],[],[],[],415000,%,گرد,بلند
تیشرت-آستین-کوتاه-مردانه-م,https://www.digikala.com/product/dkp-623335/تیشرت-آستین-کوتاه-مردانه-مدل-t46,https://dkstatics-public.digikala.com/digikala-products/116716685.jpg,https://dkstatics-public.digikala.com/digikala-products/116716689.jpg,[],[],[],[],[],[],[],[],[],[],440000,%,گرد,کوتاه
/تیشرت-آستین-بلند-مردانه-طرح-شاخه-ک,https://www.digikala.com/product/dkp-1902464/تیشرت-آستین-بلند-مردانه-طرح-شاخه-کد-s352,https://dkstatics-public.digikala.com/digikala-products/117534213.jpg,[],[],[],[],[],[],[],[],[],[],[],359000,%,گرد,بلند
تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-بایرن-مونیخ-مدل-,https://www.digikala.com/product/dkp-860889/تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-بایرن-مونیخ-مدل-330349,https://dkstatics-public.digikala.com/digikala-products/116819871.jpg,https://dkstatics-public.digikala.com/digikala-products/116819872.jpg,https://dkstatics-public.digikala.com/digikala-products/116819874.jpg,https://dkstatics-public.digikala.com/digikala-products/116819877.jpg,https://dkstatics-public.digikala.com/digikala-products/116819879.jpg,[],[],[],[],[],[],[],1390000,%,گرد,بلند
تیشرت-مردانه-کد-11012-طرح-گیم-آف,https://www.digikala.com/product/dkp-822292/تیشرت-مردانه-کد-11012-طرح-گیم-آف-ترونز,https://dkstatics-public.digikala.com/digikala-products/116804541.jpg,https://dkstatics-public.digikala.com/digikala-products/116804544.jpg,https://dkstatics-public.digikala.com/digikala-products/116804552.jpg,https://dkstatics-public.digikala.com/digikala-products/116804558.jpg,[],[],[],[],[],[],[],[],320000,%,گرد,کوتاه
/تیشرت-آستین-بلند-مردانه-دی-سی-کد-dc-3bwh-رن,https://www.digikala.com/product/dkp-1517361/تیشرت-آستین-بلند-مردانه-دی-سی-کد-dc-3bwh-رنگ-سفید,https://dkstatics-public.digikala.com/digikala-products/117353222.jpg,https://dkstatics-public.digikala.com/digikala-products/117353211.jpg,[],[],[],[],[],[],[],[],[],[],407000,%,گرد,بلند
تیشرت-مردانه-روناس-طرح-متالیکا-کد-307000601-رن,https://www.digikala.com/product/dkp-838379/تیشرت-مردانه-روناس-طرح-متالیکا-کد-307000601-رنگ-سفید,https://dkstatics-public.digikala.com/digikala-products/37e53e2f007634bf4c2c30250bf9d1f5ad5ab0ed_1617625794.jpg,https://dkstatics-public.digikala.com/digikala-products/116811848.jpg,https://dkstatics-public.digikala.com/digikala-products/116811850.jpg,https://dkstatics-public.digikala.com/digikala-products/116811852.jpg,[],[],[],[],[],[],[],[],375000,%,گرد,کوتاه
تیشرت-مردانه-طرح-ufc-مدل-b,https://www.digikala.com/product/dkp-988313/تیشرت-مردانه-طرح-ufc-مدل-bw13304,https://dkstatics-public.digikala.com/digikala-products/f7e90e845f6e027e564e8375e80c23eb3038a092_1617626143.jpg,https://dkstatics-public.digikala.com/digikala-products/116869891.jpg,[],[],[],[],[],[],[],[],[],[],364000,%,گرد,کوتاه
/تیشرت-آستین-بلند-مردانه-رونی-مدل-31110,https://www.digikala.com/product/dkp-3923208/تیشرت-آستین-بلند-مردانه-رونی-مدل-31110003-32,https://dkstatics-public.digikala.com/digikala-products/2d643c3c2d9f083e3e11d28380e65532f6163b37_1607337244.jpg,https://dkstatics-public.digikala.com/digikala-products/2d49e027936acda37c7306381a6e2c8eaf8b0739_1607337246.jpg,https://dkstatics-public.digikala.com/digikala-products/637643c1013c8bfd507e79b4ac99fb664ac26867_1607337247.jpg,https://dkstatics-public.digikala.com/digikala-products/ddd03b9950a42897e8cdba844eb46b6e8a970ee7_1607337253.jpg,https://dkstatics-public.digikala.com/digikala-products/db4f399c4c14d961b59e640bff741a3a42946380_1607337254.jpg,https://dkstatics-public.digikala.com/digikala-products/658c6f077477affe1cbcce61cb983e22d23743f6_1607776223.jpg,https://dkstatics-public.digikala.com/digikala-products/6815c52abc6486da34c08416689c77433922999c_1617634505.jpg,[],[],[],[],[],2490000,40%,ایستاده,بلند
