Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Price,Value of Discount,Collar,Sleeve
2171120-شلوار-مردانه-کد-732,https://www.digistyle.com/product/2171120-شلوار-مردانه-کد-732,https://dkstatics-public.digikala.com/digikala-products/114328354.jpg,https://dkstatics-public.digikala.com/digikala-products/114136277.jpg,https://dkstatics-public.digikala.com/digikala-products/114136289.jpg,https://dkstatics-public.digikala.com/digikala-products/114328362.jpg,[],[],[],[],[],[],1450000,[],[],[]
2171120-شلوار-مردانه-کد-732?size_id=2585,https://www.digistyle.com/product/2171120-شلوار-مردانه-کد-732?size_id=2585,https://dkstatics-public.digikala.com/digikala-products/114328354.jpg,https://dkstatics-public.digikala.com/digikala-products/114136277.jpg,https://dkstatics-public.digikala.com/digikala-products/114136289.jpg,https://dkstatics-public.digikala.com/digikala-products/114328362.jpg,[],[],[],[],[],[],1450000,[],[],[]
2171120-شلوار-مردانه-کد-732?size_id=2636,https://www.digistyle.com/product/2171120-شلوار-مردانه-کد-732?size_id=2636,https://dkstatics-public.digikala.com/digikala-products/114328354.jpg,https://dkstatics-public.digikala.com/digikala-products/114136277.jpg,https://dkstatics-public.digikala.com/digikala-products/114136289.jpg,https://dkstatics-public.digikala.com/digikala-products/114328362.jpg,[],[],[],[],[],[],1450000,[],[],[]
2171120-شلوار-مردانه-کد-732?size_id=2637,https://www.digistyle.com/product/2171120-شلوار-مردانه-کد-732?size_id=2637,https://dkstatics-public.digikala.com/digikala-products/114328354.jpg,https://dkstatics-public.digikala.com/digikala-products/114136277.jpg,https://dkstatics-public.digikala.com/digikala-products/114136289.jpg,https://dkstatics-public.digikala.com/digikala-products/114328362.jpg,[],[],[],[],[],[],1450000,[],[],[]
2171120-شلوار-مردانه-کد-732?size_id=408,https://www.digistyle.com/product/2171120-شلوار-مردانه-کد-732?size_id=408,https://dkstatics-public.digikala.com/digikala-products/114328354.jpg,https://dkstatics-public.digikala.com/digikala-products/114136277.jpg,https://dkstatics-public.digikala.com/digikala-products/114136289.jpg,https://dkstatics-public.digikala.com/digikala-products/114328362.jpg,[],[],[],[],[],[],1450000,[],[],[]
2171120-شلوار-مردانه-کد-732?size_id=409,https://www.digistyle.com/product/2171120-شلوار-مردانه-کد-732?size_id=409,https://dkstatics-public.digikala.com/digikala-products/114328354.jpg,https://dkstatics-public.digikala.com/digikala-products/114136277.jpg,https://dkstatics-public.digikala.com/digikala-products/114136289.jpg,https://dkstatics-public.digikala.com/digikala-products/114328362.jpg,[],[],[],[],[],[],1450000,[],[],[]
2171120-شلوار-مردانه-کد-732?size_id=2584,https://www.digistyle.com/product/2171120-شلوار-مردانه-کد-732?size_id=2584,https://dkstatics-public.digikala.com/digikala-products/114328354.jpg,https://dkstatics-public.digikala.com/digikala-products/114136277.jpg,https://dkstatics-public.digikala.com/digikala-products/114136289.jpg,https://dkstatics-public.digikala.com/digikala-products/114328362.jpg,[],[],[],[],[],[],1450000,[],[],[]
2171120-شلوار-مردانه-کد-732?size_id=2583,https://www.digistyle.com/product/2171120-شلوار-مردانه-کد-732?size_id=2583,https://dkstatics-public.digikala.com/digikala-products/114328354.jpg,https://dkstatics-public.digikala.com/digikala-products/114136277.jpg,https://dkstatics-public.digikala.com/digikala-products/114136289.jpg,https://dkstatics-public.digikala.com/digikala-products/114328362.jpg,[],[],[],[],[],[],1450000,[],[],[]
2171120-شلوار-مردانه-کد-732,https://www.digistyle.com/product/2171120-شلوار-مردانه-کد-732,https://dkstatics-public.digikala.com/digikala-products/114328354.jpg,https://dkstatics-public.digikala.com/digikala-products/114136277.jpg,https://dkstatics-public.digikala.com/digikala-products/114136289.jpg,https://dkstatics-public.digikala.com/digikala-products/114328362.jpg,[],[],[],[],[],[],1450000,[],[],[]
3176550-شلوار-مردانه-کد-tro-jee-f5,https://www.digistyle.com/product/3176550-شلوار-مردانه-کد-tro-jee-f5,https://dkstatics-public.digikala.com/digikala-products/5bfe7f6c888c20b4f706d86b3bb040ad6316ce7b_1596299876.jpg,https://dkstatics-public.digikala.com/digikala-products/12e0d4a6b34befa97ccc49db5077e988e7ffda7a_1596299947.jpg,https://dkstatics-public.digikala.com/digikala-products/b5ac60179371d6a4743906cbb02992f7848700a3_1596299959.jpg,https://dkstatics-public.digikala.com/digikala-products/cd7e44e149e58a7e4fb068f0e859f60865c1f6fc_1596299962.jpg,https://dkstatics-public.digikala.com/digikala-products/4fac42ecfb80f84dfa1d284c5a65c15cf44b464d_1596299940.jpg,https://dkstatics-public.digikala.com/digikala-products/7bb17708771e54d399a895482bc4738ba79cba0a_1617609963.jpg,[],[],[],[],2350000,860000,[],[]
3176550-شلوار-مردانه-کد-tro-jee-f5?size_id=2583,https://www.digistyle.com/product/3176550-شلوار-مردانه-کد-tro-jee-f5?size_id=2583,https://dkstatics-public.digikala.com/digikala-products/5bfe7f6c888c20b4f706d86b3bb040ad6316ce7b_1596299876.jpg,https://dkstatics-public.digikala.com/digikala-products/12e0d4a6b34befa97ccc49db5077e988e7ffda7a_1596299947.jpg,https://dkstatics-public.digikala.com/digikala-products/b5ac60179371d6a4743906cbb02992f7848700a3_1596299959.jpg,https://dkstatics-public.digikala.com/digikala-products/cd7e44e149e58a7e4fb068f0e859f60865c1f6fc_1596299962.jpg,https://dkstatics-public.digikala.com/digikala-products/4fac42ecfb80f84dfa1d284c5a65c15cf44b464d_1596299940.jpg,https://dkstatics-public.digikala.com/digikala-products/7bb17708771e54d399a895482bc4738ba79cba0a_1617609963.jpg,[],[],[],[],2350000,860000,[],[]
3176550-شلوار-مردانه-کد-tro-jee-f5?size_id=2584,https://www.digistyle.com/product/3176550-شلوار-مردانه-کد-tro-jee-f5?size_id=2584,https://dkstatics-public.digikala.com/digikala-products/5bfe7f6c888c20b4f706d86b3bb040ad6316ce7b_1596299876.jpg,https://dkstatics-public.digikala.com/digikala-products/12e0d4a6b34befa97ccc49db5077e988e7ffda7a_1596299947.jpg,https://dkstatics-public.digikala.com/digikala-products/b5ac60179371d6a4743906cbb02992f7848700a3_1596299959.jpg,https://dkstatics-public.digikala.com/digikala-products/cd7e44e149e58a7e4fb068f0e859f60865c1f6fc_1596299962.jpg,https://dkstatics-public.digikala.com/digikala-products/4fac42ecfb80f84dfa1d284c5a65c15cf44b464d_1596299940.jpg,https://dkstatics-public.digikala.com/digikala-products/7bb17708771e54d399a895482bc4738ba79cba0a_1617609963.jpg,[],[],[],[],2350000,860000,[],[]
