Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Price,Value of Discount,Collar,Sleeve
4544038-شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932nw-69f,https://www.digistyle.com/product/4544038-شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932nw-69f,https://dkstatics-public.digikala.com/digikala-products/92844c00d989d09ecfc0a5c5646e00ca60c9bfc6_1614492379.jpg,https://dkstatics-public.digikala.com/digikala-products/5071bb45d122840976ea21b458b72cd98f2f2cc1_1614492378.jpg,https://dkstatics-public.digikala.com/digikala-products/92dae719c1c2ba6d8a1a62c5edb9989aef912f2d_1614492382.jpg,https://dkstatics-public.digikala.com/digikala-products/2d9b09ee8b12318ae67b9340cb6c24033e338af3_1614492383.jpg,https://dkstatics-public.digikala.com/digikala-products/289669473b3eb75011c2df629a25482d82517e16_1614492384.jpg,https://dkstatics-public.digikala.com/digikala-products/82921a6768dfcab21d56349c99462537e31ebfde_1614492386.jpg,[],[],[],[],5900000,[],[],[]
4544038-شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932nw-69f?size_id=2582,https://www.digistyle.com/product/4544038-شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932nw-69f?size_id=2582,https://dkstatics-public.digikala.com/digikala-products/92844c00d989d09ecfc0a5c5646e00ca60c9bfc6_1614492379.jpg,https://dkstatics-public.digikala.com/digikala-products/5071bb45d122840976ea21b458b72cd98f2f2cc1_1614492378.jpg,https://dkstatics-public.digikala.com/digikala-products/92dae719c1c2ba6d8a1a62c5edb9989aef912f2d_1614492382.jpg,https://dkstatics-public.digikala.com/digikala-products/2d9b09ee8b12318ae67b9340cb6c24033e338af3_1614492383.jpg,https://dkstatics-public.digikala.com/digikala-products/289669473b3eb75011c2df629a25482d82517e16_1614492384.jpg,https://dkstatics-public.digikala.com/digikala-products/82921a6768dfcab21d56349c99462537e31ebfde_1614492386.jpg,[],[],[],[],5900000,[],[],[]
4544038-شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932nw-69f?size_id=2583,https://www.digistyle.com/product/4544038-شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932nw-69f?size_id=2583,https://dkstatics-public.digikala.com/digikala-products/92844c00d989d09ecfc0a5c5646e00ca60c9bfc6_1614492379.jpg,https://dkstatics-public.digikala.com/digikala-products/5071bb45d122840976ea21b458b72cd98f2f2cc1_1614492378.jpg,https://dkstatics-public.digikala.com/digikala-products/92dae719c1c2ba6d8a1a62c5edb9989aef912f2d_1614492382.jpg,https://dkstatics-public.digikala.com/digikala-products/2d9b09ee8b12318ae67b9340cb6c24033e338af3_1614492383.jpg,https://dkstatics-public.digikala.com/digikala-products/289669473b3eb75011c2df629a25482d82517e16_1614492384.jpg,https://dkstatics-public.digikala.com/digikala-products/82921a6768dfcab21d56349c99462537e31ebfde_1614492386.jpg,[],[],[],[],5900000,[],[],[]
4544038-شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932nw-69f?size_id=2584,https://www.digistyle.com/product/4544038-شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932nw-69f?size_id=2584,https://dkstatics-public.digikala.com/digikala-products/92844c00d989d09ecfc0a5c5646e00ca60c9bfc6_1614492379.jpg,https://dkstatics-public.digikala.com/digikala-products/5071bb45d122840976ea21b458b72cd98f2f2cc1_1614492378.jpg,https://dkstatics-public.digikala.com/digikala-products/92dae719c1c2ba6d8a1a62c5edb9989aef912f2d_1614492382.jpg,https://dkstatics-public.digikala.com/digikala-products/2d9b09ee8b12318ae67b9340cb6c24033e338af3_1614492383.jpg,https://dkstatics-public.digikala.com/digikala-products/289669473b3eb75011c2df629a25482d82517e16_1614492384.jpg,https://dkstatics-public.digikala.com/digikala-products/82921a6768dfcab21d56349c99462537e31ebfde_1614492386.jpg,[],[],[],[],5900000,[],[],[]
4544038-شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932nw-69f,https://www.digistyle.com/product/4544038-شلوار-مردانه-ال-سی-وایکیکی-مدل-8yam41932nw-69f,https://dkstatics-public.digikala.com/digikala-products/92844c00d989d09ecfc0a5c5646e00ca60c9bfc6_1614492379.jpg,https://dkstatics-public.digikala.com/digikala-products/5071bb45d122840976ea21b458b72cd98f2f2cc1_1614492378.jpg,https://dkstatics-public.digikala.com/digikala-products/92dae719c1c2ba6d8a1a62c5edb9989aef912f2d_1614492382.jpg,https://dkstatics-public.digikala.com/digikala-products/2d9b09ee8b12318ae67b9340cb6c24033e338af3_1614492383.jpg,https://dkstatics-public.digikala.com/digikala-products/289669473b3eb75011c2df629a25482d82517e16_1614492384.jpg,https://dkstatics-public.digikala.com/digikala-products/82921a6768dfcab21d56349c99462537e31ebfde_1614492386.jpg,[],[],[],[],5900000,[],[],[]
4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24,https://www.digistyle.com/product/4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24,https://dkstatics-public.digikala.com/digikala-products/fddb1e234e11f0df2814deb3284102257263eaea_1610449976.jpg,https://dkstatics-public.digikala.com/digikala-products/6c9326d80c5c431040257e311769da903307565d_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/6a57be731e27e41c5861d68ffdc1ed4b1305b17c_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/35e40d2d336e0981f4a5839cce9aaa90a85ee47b_1610449979.jpg,https://dkstatics-public.digikala.com/digikala-products/511a4b94ccc4f91c2a21269553dc3543ba4770d0_1610449981.jpg,https://dkstatics-public.digikala.com/digikala-products/4eb2208e79be049727e4683732b2e8213a581465_1610450001.jpg,[],[],[],[],5900000,3540000,[],[]
4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24?size_id=2583,https://www.digistyle.com/product/4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24?size_id=2583,https://dkstatics-public.digikala.com/digikala-products/fddb1e234e11f0df2814deb3284102257263eaea_1610449976.jpg,https://dkstatics-public.digikala.com/digikala-products/6c9326d80c5c431040257e311769da903307565d_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/6a57be731e27e41c5861d68ffdc1ed4b1305b17c_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/35e40d2d336e0981f4a5839cce9aaa90a85ee47b_1610449979.jpg,https://dkstatics-public.digikala.com/digikala-products/511a4b94ccc4f91c2a21269553dc3543ba4770d0_1610449981.jpg,https://dkstatics-public.digikala.com/digikala-products/4eb2208e79be049727e4683732b2e8213a581465_1610450001.jpg,[],[],[],[],5900000,3540000,[],[]
4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24?size_id=2584,https://www.digistyle.com/product/4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24?size_id=2584,https://dkstatics-public.digikala.com/digikala-products/fddb1e234e11f0df2814deb3284102257263eaea_1610449976.jpg,https://dkstatics-public.digikala.com/digikala-products/6c9326d80c5c431040257e311769da903307565d_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/6a57be731e27e41c5861d68ffdc1ed4b1305b17c_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/35e40d2d336e0981f4a5839cce9aaa90a85ee47b_1610449979.jpg,https://dkstatics-public.digikala.com/digikala-products/511a4b94ccc4f91c2a21269553dc3543ba4770d0_1610449981.jpg,https://dkstatics-public.digikala.com/digikala-products/4eb2208e79be049727e4683732b2e8213a581465_1610450001.jpg,[],[],[],[],5900000,3540000,[],[]
4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24?size_id=2585,https://www.digistyle.com/product/4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24?size_id=2585,https://dkstatics-public.digikala.com/digikala-products/fddb1e234e11f0df2814deb3284102257263eaea_1610449976.jpg,https://dkstatics-public.digikala.com/digikala-products/6c9326d80c5c431040257e311769da903307565d_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/6a57be731e27e41c5861d68ffdc1ed4b1305b17c_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/35e40d2d336e0981f4a5839cce9aaa90a85ee47b_1610449979.jpg,https://dkstatics-public.digikala.com/digikala-products/511a4b94ccc4f91c2a21269553dc3543ba4770d0_1610449981.jpg,https://dkstatics-public.digikala.com/digikala-products/4eb2208e79be049727e4683732b2e8213a581465_1610450001.jpg,[],[],[],[],5900000,3540000,[],[]
4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24?size_id=2582,https://www.digistyle.com/product/4170667-شلوار-مردانه-کوتون-مدل-8yam41932nw-c24?size_id=2582,https://dkstatics-public.digikala.com/digikala-products/fddb1e234e11f0df2814deb3284102257263eaea_1610449976.jpg,https://dkstatics-public.digikala.com/digikala-products/6c9326d80c5c431040257e311769da903307565d_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/6a57be731e27e41c5861d68ffdc1ed4b1305b17c_1610449978.jpg,https://dkstatics-public.digikala.com/digikala-products/35e40d2d336e0981f4a5839cce9aaa90a85ee47b_1610449979.jpg,https://dkstatics-public.digikala.com/digikala-products/511a4b94ccc4f91c2a21269553dc3543ba4770d0_1610449981.jpg,https://dkstatics-public.digikala.com/digikala-products/4eb2208e79be049727e4683732b2e8213a581465_1610450001.jpg,[],[],[],[],5900000,3540000,[],[]
