Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Price,Value of Discount,Collar,Sleeve
1345984-پیراهن-نخی-آستین-بلند-مردانه,https://www.digistyle.com/product/1345984-پیراهن-نخی-آستین-بلند-مردانه,https://dkstatics-public.digikala.com/digikala-products/117108411.jpg,https://dkstatics-public.digikala.com/digikala-products/117108414.jpg,https://dkstatics-public.digikala.com/digikala-products/117108417.jpg,[],[],[],[],[],[],[],19900000,9950000,[],بلند
1345984-پیراهن-نخی-آستین-بلند-مردانه?size_id=4196,https://www.digistyle.com/product/1345984-پیراهن-نخی-آستین-بلند-مردانه?size_id=4196,https://dkstatics-public.digikala.com/digikala-products/117108411.jpg,https://dkstatics-public.digikala.com/digikala-products/117108414.jpg,https://dkstatics-public.digikala.com/digikala-products/117108417.jpg,[],[],[],[],[],[],[],19900000,9950000,[],بلند
1345984-پیراهن-نخی-آستین-بلند-مردانه?size_id=5684,https://www.digistyle.com/product/1345984-پیراهن-نخی-آستین-بلند-مردانه?size_id=5684,https://dkstatics-public.digikala.com/digikala-products/117108411.jpg,https://dkstatics-public.digikala.com/digikala-products/117108414.jpg,https://dkstatics-public.digikala.com/digikala-products/117108417.jpg,[],[],[],[],[],[],[],19900000,9950000,[],بلند
1345984-پیراهن-نخی-آستین-بلند-مردانه?size_id=4194,https://www.digistyle.com/product/1345984-پیراهن-نخی-آستین-بلند-مردانه?size_id=4194,https://dkstatics-public.digikala.com/digikala-products/117108411.jpg,https://dkstatics-public.digikala.com/digikala-products/117108414.jpg,https://dkstatics-public.digikala.com/digikala-products/117108417.jpg,[],[],[],[],[],[],[],19900000,9950000,[],بلند
1345984-پیراهن-نخی-آستین-بلند-مردانه?size_id=4195,https://www.digistyle.com/product/1345984-پیراهن-نخی-آستین-بلند-مردانه?size_id=4195,https://dkstatics-public.digikala.com/digikala-products/117108411.jpg,https://dkstatics-public.digikala.com/digikala-products/117108414.jpg,https://dkstatics-public.digikala.com/digikala-products/117108417.jpg,[],[],[],[],[],[],[],19900000,9950000,[],بلند
1345984-پیراهن-نخی-آستین-بلند-مردانه,https://www.digistyle.com/product/1345984-پیراهن-نخی-آستین-بلند-مردانه,https://dkstatics-public.digikala.com/digikala-products/117108411.jpg,https://dkstatics-public.digikala.com/digikala-products/117108414.jpg,https://dkstatics-public.digikala.com/digikala-products/117108417.jpg,[],[],[],[],[],[],[],19900000,9950000,[],بلند
2912790-پیراهن-مردانه-مدل-rm9937,https://www.digistyle.com/product/2912790-پیراهن-مردانه-مدل-rm9937,https://dkstatics-public.digikala.com/digikala-products/121569631.jpg,https://dkstatics-public.digikala.com/digikala-products/121569632.jpg,https://dkstatics-public.digikala.com/digikala-products/121569633.jpg,https://dkstatics-public.digikala.com/digikala-products/15f0850b0580a4b6c70769f58263419ea61b790d_1597843285.jpg,[],[],[],[],[],[],970000,[],برگردان,بلند
2912790-پیراهن-مردانه-مدل-rm9937?size_id=66,https://www.digistyle.com/product/2912790-پیراهن-مردانه-مدل-rm9937?size_id=66,https://dkstatics-public.digikala.com/digikala-products/121569631.jpg,https://dkstatics-public.digikala.com/digikala-products/121569632.jpg,https://dkstatics-public.digikala.com/digikala-products/121569633.jpg,https://dkstatics-public.digikala.com/digikala-products/15f0850b0580a4b6c70769f58263419ea61b790d_1597843285.jpg,[],[],[],[],[],[],970000,[],برگردان,بلند
2912790-پیراهن-مردانه-مدل-rm9937?size_id=67,https://www.digistyle.com/product/2912790-پیراهن-مردانه-مدل-rm9937?size_id=67,https://dkstatics-public.digikala.com/digikala-products/121569631.jpg,https://dkstatics-public.digikala.com/digikala-products/121569632.jpg,https://dkstatics-public.digikala.com/digikala-products/121569633.jpg,https://dkstatics-public.digikala.com/digikala-products/15f0850b0580a4b6c70769f58263419ea61b790d_1597843285.jpg,[],[],[],[],[],[],970000,[],برگردان,بلند
2912790-پیراهن-مردانه-مدل-rm9937?size_id=68,https://www.digistyle.com/product/2912790-پیراهن-مردانه-مدل-rm9937?size_id=68,https://dkstatics-public.digikala.com/digikala-products/121569631.jpg,https://dkstatics-public.digikala.com/digikala-products/121569632.jpg,https://dkstatics-public.digikala.com/digikala-products/121569633.jpg,https://dkstatics-public.digikala.com/digikala-products/15f0850b0580a4b6c70769f58263419ea61b790d_1597843285.jpg,[],[],[],[],[],[],970000,[],برگردان,بلند
