Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Price,Value of Discount,Collar,Sleeve
4328235-تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jstz-0922,https://www.digistyle.com/product/4328235-تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jstz-0922,https://dkstatics-public.digikala.com/digikala-products/546e6e0fdb06239f848dbc8b0751394b630a2238_1611732857.jpg,https://dkstatics-public.digikala.com/digikala-products/546e6e0fdb06239f848dbc8b0751394b630a2238_1611732860.jpg,https://dkstatics-public.digikala.com/digikala-products/4f5a9775eb2a16b459ebf279146ea6e1ff8b9ef4_1611732858.jpg,https://dkstatics-public.digikala.com/digikala-products/fb7127f6153186b59afd56af3e590875ac37f515_1611732859.jpg,[],[],[],[],[],[],77700000,3885000,گرد,کوتاه
4328235-تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jstz-0922?size_id=65,https://www.digistyle.com/product/4328235-تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jstz-0922?size_id=65,https://dkstatics-public.digikala.com/digikala-products/546e6e0fdb06239f848dbc8b0751394b630a2238_1611732857.jpg,https://dkstatics-public.digikala.com/digikala-products/546e6e0fdb06239f848dbc8b0751394b630a2238_1611732860.jpg,https://dkstatics-public.digikala.com/digikala-products/4f5a9775eb2a16b459ebf279146ea6e1ff8b9ef4_1611732858.jpg,https://dkstatics-public.digikala.com/digikala-products/fb7127f6153186b59afd56af3e590875ac37f515_1611732859.jpg,[],[],[],[],[],[],77700000,3885000,گرد,کوتاه
4328235-تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jstz-0922?size_id=66,https://www.digistyle.com/product/4328235-تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jstz-0922?size_id=66,https://dkstatics-public.digikala.com/digikala-products/546e6e0fdb06239f848dbc8b0751394b630a2238_1611732857.jpg,https://dkstatics-public.digikala.com/digikala-products/546e6e0fdb06239f848dbc8b0751394b630a2238_1611732860.jpg,https://dkstatics-public.digikala.com/digikala-products/4f5a9775eb2a16b459ebf279146ea6e1ff8b9ef4_1611732858.jpg,https://dkstatics-public.digikala.com/digikala-products/fb7127f6153186b59afd56af3e590875ac37f515_1611732859.jpg,[],[],[],[],[],[],77700000,3885000,گرد,کوتاه
4328235-تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jstz-0922?size_id=67,https://www.digistyle.com/product/4328235-تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jstz-0922?size_id=67,https://dkstatics-public.digikala.com/digikala-products/546e6e0fdb06239f848dbc8b0751394b630a2238_1611732857.jpg,https://dkstatics-public.digikala.com/digikala-products/546e6e0fdb06239f848dbc8b0751394b630a2238_1611732860.jpg,https://dkstatics-public.digikala.com/digikala-products/4f5a9775eb2a16b459ebf279146ea6e1ff8b9ef4_1611732858.jpg,https://dkstatics-public.digikala.com/digikala-products/fb7127f6153186b59afd56af3e590875ac37f515_1611732859.jpg,[],[],[],[],[],[],77700000,3885000,گرد,کوتاه
4328235-تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jstz-0922,https://www.digistyle.com/product/4328235-تیشرت-آستین-کوتاه-مردانه-امپریو-آرمانی-مدل-3h1t781jstz-0922,https://dkstatics-public.digikala.com/digikala-products/546e6e0fdb06239f848dbc8b0751394b630a2238_1611732857.jpg,https://dkstatics-public.digikala.com/digikala-products/546e6e0fdb06239f848dbc8b0751394b630a2238_1611732860.jpg,https://dkstatics-public.digikala.com/digikala-products/4f5a9775eb2a16b459ebf279146ea6e1ff8b9ef4_1611732858.jpg,https://dkstatics-public.digikala.com/digikala-products/fb7127f6153186b59afd56af3e590875ac37f515_1611732859.jpg,[],[],[],[],[],[],77700000,3885000,گرد,کوتاه
860889-تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-بایرن-مونیخ-مدل-330349,https://www.digistyle.com/product/860889-تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-بایرن-مونیخ-مدل-330349,https://dkstatics-public.digikala.com/digikala-products/116819869.jpg,https://dkstatics-public.digikala.com/digikala-products/116819871.jpg,https://dkstatics-public.digikala.com/digikala-products/116819872.jpg,https://dkstatics-public.digikala.com/digikala-products/116819874.jpg,https://dkstatics-public.digikala.com/digikala-products/116819877.jpg,https://dkstatics-public.digikala.com/digikala-products/116819879.jpg,[],[],[],[],1390000,[],گرد,بلند
860889-تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-بایرن-مونیخ-مدل-330349?size_id=68,https://www.digistyle.com/product/860889-تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-بایرن-مونیخ-مدل-330349?size_id=68,https://dkstatics-public.digikala.com/digikala-products/116819869.jpg,https://dkstatics-public.digikala.com/digikala-products/116819871.jpg,https://dkstatics-public.digikala.com/digikala-products/116819872.jpg,https://dkstatics-public.digikala.com/digikala-products/116819874.jpg,https://dkstatics-public.digikala.com/digikala-products/116819877.jpg,https://dkstatics-public.digikala.com/digikala-products/116819879.jpg,[],[],[],[],1390000,[],گرد,بلند
860889-تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-بایرن-مونیخ-مدل-330349?size_id=720,https://www.digistyle.com/product/860889-تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-بایرن-مونیخ-مدل-330349?size_id=720,https://dkstatics-public.digikala.com/digikala-products/116819869.jpg,https://dkstatics-public.digikala.com/digikala-products/116819871.jpg,https://dkstatics-public.digikala.com/digikala-products/116819872.jpg,https://dkstatics-public.digikala.com/digikala-products/116819874.jpg,https://dkstatics-public.digikala.com/digikala-products/116819877.jpg,https://dkstatics-public.digikala.com/digikala-products/116819879.jpg,[],[],[],[],1390000,[],گرد,بلند
860889-تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-بایرن-مونیخ-مدل-330349,https://www.digistyle.com/product/860889-تیشرت-آستین-بلند-مردانه-پاتیلوک-طرح-بایرن-مونیخ-مدل-330349,https://dkstatics-public.digikala.com/digikala-products/116819869.jpg,https://dkstatics-public.digikala.com/digikala-products/116819871.jpg,https://dkstatics-public.digikala.com/digikala-products/116819872.jpg,https://dkstatics-public.digikala.com/digikala-products/116819874.jpg,https://dkstatics-public.digikala.com/digikala-products/116819877.jpg,https://dkstatics-public.digikala.com/digikala-products/116819879.jpg,[],[],[],[],1390000,[],گرد,بلند
3923208-تیشرت-آستین-بلند-مردانه-رونی-مدل-31110003-32,https://www.digistyle.com/product/3923208-تیشرت-آستین-بلند-مردانه-رونی-مدل-31110003-32,https://dkstatics-public.digikala.com/digikala-products/f59ad54a0a15e75523f95f5cb8987e6484d51f42_1607337243.jpg,https://dkstatics-public.digikala.com/digikala-products/2d643c3c2d9f083e3e11d28380e65532f6163b37_1607337244.jpg,https://dkstatics-public.digikala.com/digikala-products/2d49e027936acda37c7306381a6e2c8eaf8b0739_1607337246.jpg,https://dkstatics-public.digikala.com/digikala-products/637643c1013c8bfd507e79b4ac99fb664ac26867_1607337247.jpg,https://dkstatics-public.digikala.com/digikala-products/ddd03b9950a42897e8cdba844eb46b6e8a970ee7_1607337253.jpg,https://dkstatics-public.digikala.com/digikala-products/db4f399c4c14d961b59e640bff741a3a42946380_1607337254.jpg,https://dkstatics-public.digikala.com/digikala-products/658c6f077477affe1cbcce61cb983e22d23743f6_1607776223.jpg,https://dkstatics-public.digikala.com/digikala-products/6815c52abc6486da34c08416689c77433922999c_1617634505.jpg,[],[],2490000,1000000,ایستاده,بلند
