Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Price,Value of Discount,Sleeve
پیراهن خط دار ماوی,https://www.iranmavi.com/men/shirts/021593-620.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/7/67d9dcb0f1c06c2baaadd36fc619d18c4b6d71c4.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/5/c5356e374b281916b444aa9bdda334567f843048.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/0/50e25985886e1c27e97d4d6e64f405caeb7144a6.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/0/00baf4fc2e075385897e07f6d319cf46862df1fb.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/7/67d9dcb0f1c06c2baaadd36fc619d18c4b6d71c4.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/6/d6c8d847cd08d4a37f1a565daffae60e76f837ed.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/b/bb51aa3f1a645e98f075d5cb90dc0b8b4c7988cd.jpg,[],[],[],11010000 ,11010000 ,بلند
پیراهن ماوی,https://www.iranmavi.com/men/shirts/021623-30711.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/8/88d3bc1f896d364d9184804e3edc13c8267017bd.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/9/0998cebc95be3c4b1280b9c09b84ef2a3c7b593b.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/d/7dcbed2a6c1f2cc73a8254e6c8cee039d26a5220.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/9/09f52137fdda96751ed03e83401d0bbab69ac2a5.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/4/64702c659e6bf0056314181352c2d637fcc621e4.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/4/94d770080c11f65d7daecbb16ce68591a957375c.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/8/88d3bc1f896d364d9184804e3edc13c8267017bd.jpg,[],[],[],11010000 ,11010000 ,بلند
پیراهن جیب دار ماوی,https://www.iranmavi.com/men/shirts/021854-34023.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/d/3dd21cc9acd0fbf0c1ae55f49cae1f4be4e28a75.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/d/3dd21cc9acd0fbf0c1ae55f49cae1f4be4e28a75.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/1/31c64512838b0f118e8e279e32903dc2041fa52c.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/9/f97d696b1ce6feb2aed42b26d5d3fb313138957e.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/2367b41d9d7a65e6fdbbb4d11c34bb7032549919.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/b/5bca0540bd03d19bd04fb23ba49e21791711ef5a.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/7/47a3b0f6a43309bd2bfb1f25656ae96c86cb2c18.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/3/e33a505f0374f8f7abd5f4b642118aa8bc5c2044.jpg,[],[],14450000 ,14450000 ,بلند
پیراهن جیب دار ماوی,https://www.iranmavi.com/men/shirts/021806-33406.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/1/419db3b7f21d0d76597fdd61cdc91b1c907d0139.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/f/6f7d335503d054b679dc6edc78edc1222a65f686.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/b/6b2e07f2de5358188151a36564740c78e6ac3181.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/1/419db3b7f21d0d76597fdd61cdc91b1c907d0139.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/6/e6b68b66be5c023107dcf864e4a0b17994e975e6.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/3/53f76581d9dd40b9c562ffca66d9caa2fee44440.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/6/2642d3671f28b03790cfa05159927904f42deb82.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/e/0e59a6afcbca706f05efe823f7d56233b50ca7e9.jpg,[],[],14450000 ,14450000 ,بلند
پیراهن شطرنجی ماوی,https://www.iranmavi.com/men/shirts/021811-900.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/e/ce57a587bb00cabc4074128de64019200c163dee.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/1/71501e1b2639aee45bbfcb203c8c29678ff1cfa0.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/e/ce57a587bb00cabc4074128de64019200c163dee.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/e/0e71e3ff13c718e6729e26e611efebe112735083.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/1/a1d0f048b83cd688af83b6789418edeef2cde8b8.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/8/18881211b0e304f28df05b5119bb9b0a07db2ba2.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/9/c9b202f3d6e239747615d74fe96bde2e49af149f.jpg,[],[],[],12910000  ,10100000  ,بلند
پیراهن ماوی,https://www.iranmavi.com/men/shirts/020860-29765.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/0/000439f7a9d1f6e560d62bce46afd20660874a42.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/0/000439f7a9d1f6e560d62bce46afd20660874a42.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/d/7dfa984b6fd4f55d57b5fac7c346cfb49a2d27c7.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/b/5b236072793021ad39602ea26358bbf66f43f811.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/2/92728bf95e72fcde00b355809f54c64f03c3b69a.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/1/f180f6c89f96ca7dd79a52392da0d307ad0ed1b2.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/0/e0ac1c3ef734a4969075f28c65247b3f05bc589e.jpg,[],[],[],10660000  ,5860000  ,بلند
پیراهن ماوی,https://www.iranmavi.com/men/shirts/021421-900.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/e/4e071c388f145c8f48a2895e737a34ba21b2151f.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/a/0af6dfe1ace63d746ce5858c0b6e04581be45a69.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/d/6dd89869adbd3cd641975fe77169543124b4220d.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7780388e4450fcf992c737fcac974bcd39036b53.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/e/4e071c388f145c8f48a2895e737a34ba21b2151f.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/b/eb3e63b76ece470b2b0f68fb2949073d543d3389.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/f/dfb15611bc2532f3745676450b59efa2af994534.jpg,[],[],[],11650000  ,6590000  ,بلند
پیراهن ماوی,https://www.iranmavi.com/men/shirts/8802054-30727.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/d/fd26f1be3959263eb5474456a6a55b21ddfd6e48.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/133e2f60a572042f0770eb6483b6f6a2e89259b0.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/d/fd26f1be3959263eb5474456a6a55b21ddfd6e48.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/8/88877773869d7b0df0f62cf7d1a7c0eb9cdffaca.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/5/d5b3d12836e27922fc1002170715b9d5b8d52756.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/1/21abcbe0e00aa157bad961d83da9ba7ff12eea5e.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/365cd9be02c8461c72b818630753f63a66abd8db.jpg,[],[],[],6770000 ,6770000 ,بلند
پیراهن ماوی,https://www.iranmavi.com/men/shirts/021739-32174.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/d/2d0af0143a12fb7fb628459f825b99312d8077d1.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/a/2a5fc1857493de509be035eeee69fcc9fa7ce3b6.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/7/57b5b45083a1c1d398cbeb46fe93399200cf6b51.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/4/9481b19a2223d2ff6ba114bff1c4683b9283fea4.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/d/2d0af0143a12fb7fb628459f825b99312d8077d1.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/1/711c8155f014ac6ecbd7ba9b5c6a0ba314ede8b2.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/b/bb000240f756b932e1d259c50388322ed9ca8945.jpg,[],[],[],11010000  ,8060000  ,بلند
پیراهن ماوی,https://www.iranmavi.com/men/shirts/021602-32950.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/7/b74b8219fa468f28d8d22468fdcc5db23c42f211.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/c/2cf9dd251e44dc5013f68197dd0131290ca8a22d.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/4/847cee6313b7921f8610a6c67275c596fd6c6174.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/7/b74b8219fa468f28d8d22468fdcc5db23c42f211.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/a/ba89d0d4eb678c87852a766c036ea844afbc84ae.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/3/d3c27a68ec2262bb448a37071fd67daf129af52b.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/c/6c497dbcdf68fd6a8ae38c210ad08c8cd65037de.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/e/5e5084d690bc41df46efcc9031fd19bd60a19128.jpg,[],[],14450000 ,14450000 ,بلند
