Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Eleventh Image,Twelve Image,Thirteenth Image,Fourteenth Image,Price,Value of Discount,Sleeve
تی شرت طرح دار ماوی,https://www.iranmavi.com/men/t-shirt/067075-33650.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/c/7c033fd0a0c69acfc0ae420c5cc59d2585c604ae.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/c/7c033fd0a0c69acfc0ae420c5cc59d2585c604ae.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/b/8bbe34df8c35e93e77affc3b201a6d107ea2ec64.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/1/21bcd336542380b686008d5e32ab40c55e304f83.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/f/1fae6378188d29e0411441fb589cb406bb98645d.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/9/4926b07de0af9fc674af74c683df97a764919790.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/1/a1d58c14be589177f16c37ab01a174f0babfde72.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/1/a13f5a493a8ab36b2204fc83582244da9abd296d.jpg,[],[],[],[],[],[],5700000 ,5700000 ,کوتاه
تی شرت طرح دار ماوی,https://www.iranmavi.com/men/t-shirt/067028-33506.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/0/b091730634023f223be97c100a61e2f1e8562e9d.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/9/995e6db80de05e3aee8767e0da1a7cd5150b0e50.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/3/b349ef5512672ab471a2e584e148807efca4fe70.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/0/b091730634023f223be97c100a61e2f1e8562e9d.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/8/d8b44bf37990dc27a704b2c1f5abc192c04f06f6.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/0/f07ae0299787af6ca557fadd4ce0dd798c181e72.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/f/ff16cbe23139d69de42a589d8ce235669268981a.jpg,[],[],[],[],[],[],[],6020000 ,6020000 ,کوتاه
تی شرت ماوی,https://www.iranmavi.com/men/t-shirt/066902-620.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/8/686d8da655396d74022343278ad451edcf5e9f89.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/c/6cbbb5d864ffa702cf700e6301f1509c845ee798.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/8/686d8da655396d74022343278ad451edcf5e9f89.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/1/c1d51f12c9d2828a3e10841d2309d6a4a454c99e.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/7/17126d73ad89d3e3b2f0c2ac737cb6d011940323.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/2/f267c7ffe4eabf7e3d05812b12b6f298da1628b3.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/2/42bbd6086972179d93ed8268e601009a5cc4a994.jpg,[],[],[],[],[],[],[],5270000 ,5270000 ,کوتاه
تی شرت طرح دار ماوی,https://www.iranmavi.com/men/t-shirt/067031-35242.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/2/92b962c271b36844a589bcd2c128f01cfa59f08f.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/2/92b962c271b36844a589bcd2c128f01cfa59f08f.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/203c93ad0818d60c735f5e79b28b1261c49c4c03.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/6/4630b958883fa906124a3b2265243e00095790e2.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/16c8be573d660d30e8f1eb51d0f7a1a9acc714d2.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/3/436ad469825c4b951cb8ea40f613240a541fed17.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/0/d09119862a067c59cfbce82d4632b2240837c735.jpg,[],[],[],[],[],[],[],6770000 ,6770000 ,کوتاه
تی شرت ماوی,https://www.iranmavi.com/men/t-shirt/066906-900.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/9/d9a53e6746e20d1626249db7afbd6088e98806c4.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/5/05b27830dce8744889593886867fd35510138626.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/1/a1946f47908c20d2ae21b1f01f19182a4f4ceb11.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/1/a122ab66ed7ac3f41fd10b444e31f84eaaecbec5.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/9/0978f8b0c8f98f1f493f70be8290683e73ed5b46.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/9/699b797f136972f93d6cec9dc416505dab4ba9d0.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/9/d9a53e6746e20d1626249db7afbd6088e98806c4.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/6/26c608b77dbf7c5b3f809e20a41ae3d27f8da56b.jpg,[],[],[],[],[],[],5270000 ,5270000 ,کوتاه
تی شرت ماوی,https://www.iranmavi.com/men/t-shirt/066906-620.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/16109cd3b0dc9b44d0c787cfbca31efff11c35bc.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/d/8da6b84261f3d2590289f7947ce9d9e4c6ef9dc3.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/16109cd3b0dc9b44d0c787cfbca31efff11c35bc.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/f/9f49bf34fca4ab4796d8ee7eec87f8adf6787fd2.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/5/95ce5ef96eea69a5cd4fb04e04aefdb69ab772bf.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/d/6d7fe63406a919159348a1f2ee0fc4a79345555f.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/1/11f77937112d9b959c8388743acde0df9b1783d8.jpg,[],[],[],[],[],[],[],5270000 ,5270000 ,کوتاه
تی شرت ماوی,https://www.iranmavi.com/men/t-shirt/066905-900.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/97ae2a4843e73c1ea727103d8cda38aed02efe01.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/0/a0f561ed24e67f3bb052af029e0ac664c7d1fd03.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/1/a1ab35f115f9856e9a3259dd0ebdcd377317284b.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/f/7f3f702465d2093ca3fcd1eee558683e90317167.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/f/bf303c39fe1cae2e6cacae2d3ec11f90fa017601.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/7/97ae2a4843e73c1ea727103d8cda38aed02efe01.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/9/198c8a6b9da0ced2921c5d71917471db6ed31318.jpg,[],[],[],[],[],[],[],5270000 ,5270000 ,کوتاه
تی شرت یقه هفت ماوی,https://www.iranmavi.com/men/t-shirt/063408-33198.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/5/a5f8414bd0449ed9b7f6436b79c8bc0d301977f6.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/5/a5f8414bd0449ed9b7f6436b79c8bc0d301977f6.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/6/267f16becf6b62bf248b569927281a475401aa9b.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/8/b8a1b3b39c5bbdd09f6e0b7927379dd554c20c2b.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/1/411450ed872c7d26d5ba2469e8a37b5439f61aeb.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/b/2bb2ec824584c8118215c0594f1f81c7cecabe61.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/6/8656b05a1717a1d19b5de496e4b3c6b2d2f6f86a.jpg,[],[],[],[],[],[],[],4510000 ,4510000 ,کوتاه
تی شرت جیب دار ماوی,https://www.iranmavi.com/men/t-shirt/066620-33508.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/2/b27ef60cc3d93e43bc0dc260cccd6fd14bd8cc23.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/f/1f16fe858becbfab0559c09b4d04461f52f61465.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/2/b27ef60cc3d93e43bc0dc260cccd6fd14bd8cc23.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/e/6e132d1072e7b382b9562c2c56b5eafcae3e4a4f.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/7/170c6612fe78286baa73b43e6323c928f4e57d1a.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/406de1ac4963979f3be06cef2438c827cb4f4698.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/9/7986f00f238d6cdd4114b77f04ae6fa0a0b62016.jpg,[],[],[],[],[],[],[],6020000 ,6020000 ,کوتاه
تی شرت جیب دار ماوی,https://www.iranmavi.com/men/t-shirt/066620-33518.html,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/8/58f6602d807693b3247100578c0825f064387135.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/1/a1accde9114a9e04c72bd532ab15686c917d3a7c.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/8/58f6602d807693b3247100578c0825f064387135.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/b/1b03d613feacd42e6d847aa4b15741c93277363d.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/5/c587e32b7c994121d5e6c20ef2e70cef85649a21.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/5/f57b7e349c5bd41224dc204a4f51dd1febe119f0.jpg,https://www.iranmavi.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/b/ab27d9ee6693b70ad0d1fdcf2d6394aa8951b650.jpg,[],[],[],[],[],[],[],6020000 ,6020000 ,کوتاه
