Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Collar,Sleeve
پیراهن آستین بلند یو اس پولو,https://www.iranuspolo.com/men/shirt/50234626-vr033.html,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/a/fa7a0eaf2e66a24fafaf6b6c4c1c98495865909d.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/c/9cd5675287dc6a63b913bd180b1bdbc4d2b34373.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/4/5407840fb2be9991c63ca2f8539466f1b7a447e7.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/4/040517c816361389f4088bf8a00d9f2cf7df8632.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/4/3428eb98b1fbd7991f37d0922e456439cca6bca6.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/a/5a06d0d78a50eb70608c0f7612fbb0b34bfee617.jpg,[],[],18840000 ,18840000 ,[], بلند 
پیراهن آستین بلند یو اس پولو,https://www.iranuspolo.com/men/shirt/50232944-vr013.html,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/225bf681d854596905749b58a1fb9bc0d35735f9.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/228c9904eb122a08547232f4b6bea7f14f52bb9f.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/7/c731e327d70c101990ea978482ab0790c6019cbf.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/3/537c6fdc89b2c91eac97f49e785a74f33e39edb7.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/7/27ca0f26af22bed360561a5fde6d3180514b4aab.jpg,[],[],[],18840000 ,18840000 ,[], بلند 
پیراهن آستین بلند یو اس پولو,https://www.iranuspolo.com/men/shirt/50235228-vr044.html,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/f/dfbdc70e66d14ebe0904af524e33db6f3f99edbf.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/7/475c902af5c4376a4a6d717e9097c64510ac6db7.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/a/3a29ce4242b7ba9020bca68b8305f3024e815d12.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/1/b13c9b02ea448a86420294b919750ed116678e22.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/b/0b918641e28c71a6c541689336cd22d62e8de5b6.jpg,[],[],[],20730000 ,20730000 ,[], بلند 
پیراهن آستین بلند یو اس پولو,https://www.iranuspolo.com/men/shirt/50232890-vr033.html,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/f/4fe47f9a76ca6f77ce787911d95559eb712b62ec.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/1/31a04a02a6674c677b85ff0bf6ba3e4f3debf9cb.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/a/fa89cdc003bfed2cb2aca42d717c48601b1e173b.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/c/9c7124d579202ed3f1b7ba903ecfe472819e43a3.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/c/ecfb7d53ddd650e3eed7159305e292ab65da4b00.jpg,[],[],[],31410000 ,31410000 ,[], بلند 
پیراهن آستین بلند یو اس پولو,https://www.iranuspolo.com/men/shirt/50232763-vr027.html,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/7/f70ef005070d5a877a3c7823aa7760ce6b22b2e7.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/0/d0d879b272acddae3f633742826247647539e26f.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/8/b81f6e9baf05e252ba5ecb62e81db5546478ea97.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/2/a2aa9c79eaae46d8f3a967fa11991882c9a19b14.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/7/473c1f4bbc8d2a983084ef181413d6dee656e4a7.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/6/868cb16ce8c18732beb05b18a1794a0cb7084518.jpg,[],[],19470000 ,19470000 ,[], بلند 
پیراهن آستین بلند یو اس پولو,https://www.iranuspolo.com/men/shirt/50235302-vr013.html,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/9/79389e2f6df5e45011ef391e01f723c79cc71644.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/a/7a355b2bd988a53e724fc89fdfe6faf89b649c60.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/5/15f74083f29163696135d629a4c1043e6d9641f4.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/7/2727d7d6a7c7a5044c24d11a20e6a3a86d8667be.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/e/5e7d54263a547cfb2aa87b1705022ae44684279d.jpg,[],[],[],16960000 ,16960000 ,[], بلند 
پیراهن آستین بلند یو اس پولو,https://www.iranuspolo.com/men/shirt/50235098-vr013.html,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/8/58d1e1f50158943611de36e484d85f96e76ffd52.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/5/4500a05641937454335af6ca8aa25e6f5bc8c380.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/8/38876caaa0af5a7eed5ea921e3d55cbe85421717.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/3/e38af923c00bb2b65dee272a39e12bb4aee83546.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/4/c46fd0429d16771e8a83e81625edec2ae4c2aa15.jpg,[],[],[],18210000 ,18210000 ,[], بلند 
پیراهن آستین بلند یو اس پولو,https://www.iranuspolo.com/men/shirt/50235291-vr093.html,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/a/dabaa25d2dde440c71db0abeb911559b23891609.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/6/b6d5f9b0a94d025caeb22cade79366d8ba3daa76.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/c/0ca063fb24faf74579a050cf2e5ac62e7f07c0c2.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/9/a93f7d83472f8836521c02aa5069155039393005.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/f/1f738b0c87ea08555f8bc6d113f38723aca91df7.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/3/83b133197e4f2d14194e2f518f7bea60a48593b5.jpg,[],[],12560000 ,12560000 ,[], بلند 
پیراهن آستین بلند یو اس پولو,https://www.iranuspolo.com/men/shirt/50232743-vr013.html,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/3/938024b1eb2c2c3844abf4b890c32dff94d04505.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/f/0f6ba886b77469f96659f4cb62da06187786bec8.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/9/4943e04ee7479de30d430dd38a56dccca7b4bae8.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/e/8ec78d57b7bbac8d06e6cbcd2451d8a36ebe20e7.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/8/18734006ec593daebd9d17d73a58e3691c005af8.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/7/27b7d337c657b8901e9b8a3a37f2a8737637b04a.jpg,[],[],19470000 ,19470000 ,[], بلند 
پیراهن آستین بلند یو اس پولو,https://www.iranuspolo.com/men/shirt/50232944-vr033.html,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/9/9902c952e76fdf9832a051f58b1e9957393c3e8e.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/c/5ca491788f96fe6a3fd39d3bfd3bae38ac97605c.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/7/2755cb19ce68133871abdce805c7e36eb2714d3d.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/d/4d329f5044f77a20dc3356441c03fbbbe04fa414.jpg,https://www.iranuspolo.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/c/dcd2ebc6c8dd1af7ca593580aa661188f7881faa.jpg,[],[],[],18840000 ,18840000 ,[], بلند 
