Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Price,Discounted Percent,Collar,Sleeve
شلوار کتان کمرپهن طوسی_کد۲۸۵۲,https://maxbax.com/Product/MaxBax-369534/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%da%a9%d8%aa%d8%a7%d9%86-%da%a9%d9%85%d8%b1%d9%be%d9%87%d9%86_%da%a9%d8%af2852/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-16_19-37-39.jpg,[],[],[],[],[],890000,590000,[],[]
شلوار اسلش مردانه مشکی_کد ۲۸۶۵,https://maxbax.com/Product/MaxBax-371164/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%d8%a7%d8%b3%d9%84%d8%b4-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d9%85%d8%b4%da%a9%db%8c_%da%a9%d8%af-2865/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-19_12-11-18.jpg,[],[],[],[],[],1020000,720000,[],[]
شلوار اسلش مردانه کرم_کد ۲۸۶۴,https://maxbax.com/Product/MaxBax-371144/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%d8%a7%d8%b3%d9%84%d8%b4-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%da%a9%d8%b1%d9%85_%da%a9%d8%af-2864/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-19_12-11-12.jpg,[],[],[],[],[],1020000,720000,[],[]
شلوار جین مردانه ذغالی_کد۱۷۸۲,https://maxbax.com/Product/MaxBax-257892/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%d8%ac%db%8c%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b0%d8%ba%d8%a7%d9%84%db%8c_%da%a9%d8%af1782/,https://maxbax.com/wp-content/uploads/2020/11/photo_2020-11-21_14-03-34.jpg,[],[],[],[],[],1130000,830000,[],[]
شلوارک مردانه respect,https://maxbax.com/Product/MaxBax-216628/%d8%b4%d9%84%d9%88%d8%a7%d8%b1%da%a9-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-respect/,https://maxbax.com/wp-content/uploads/2020/09/photo_2020-09-15_17-42-59.jpg,[],[],[],[],[],[],[],[],[]
شلوار اسلش مردانه منچستر,https://maxbax.com/Product/MaxBax-286952/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%d8%a7%d8%b3%d9%84%d8%b4-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d9%85%d9%86%da%86%d8%b3%d8%aa%d8%b1/,https://maxbax.com/wp-content/uploads/2021/01/photo_2021-01-05_20-22-29-2.jpg,[],[],[],[],[],[],[],[],[]
شلوار کتان مردانه_کد ۲۱۵۴,https://maxbax.com/Product/MaxBax-308435/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%da%a9%d8%aa%d8%a7%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87_%da%a9%d8%af-2154/,https://maxbax.com/wp-content/uploads/2021/04/photo_2021-04-22_19-12-36.jpg,[],[],[],[],[],1020000,720000,[],[]
شلوار اسلش مردانه یوونتوس,https://maxbax.com/Product/MaxBax-286965/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%d8%a7%d8%b3%d9%84%d8%b4-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%db%8c%d9%88%d9%88%d9%86%d8%aa%d9%88%d8%b3/,https://maxbax.com/wp-content/uploads/2021/01/photo_2021-01-05_20-46-03.jpg,[],[],[],[],[],[],[],[],[]
اسلش مردانه NTIC,https://maxbax.com/Product/MaxBax-299494/%d8%a7%d8%b3%d9%84%d8%b4-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-ntic/,https://maxbax.com/wp-content/uploads/2021/01/photo_2021-01-26_18-43-50.jpg,[],[],[],[],[],[],[],[],[]
شلوار کتان مردانه کمر پهن سدری,https://maxbax.com/Product/MaxBax-287353/%d8%b4%d9%84%d9%88%d8%a7%d8%b1-%da%a9%d8%aa%d8%a7%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%da%a9%d9%85%d8%b1-%d9%be%d9%87%d9%86-%d8%b3%d8%af%d8%b1%db%8c/,https://maxbax.com/wp-content/uploads/2021/01/photo_2021-01-09_10-08-15.jpg,[],[],[],[],[],990000,690000,[],[]
