Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Price,Discounted Percent,Collar,Sleeve
پیراهن لی مردانه AGNESE,https://maxbax.com/Product/MaxBax-315345/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%84%db%8c-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-agnese_%d8%b3%d8%b1%d9%85%d9%87-%d8%a7%db%8c/,https://maxbax.com/wp-content/uploads/2021/02/photo_2021-02-20_19-52-58.jpg,[],[],[],[],[],[],[],[],یقه
پیراهن مردانه Fashion_زرشکی,https://maxbax.com/Product/MaxBax-365953/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-fashion_%d8%b2%d8%b1%d8%b4%da%a9%db%8c/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-09_16-40-25.jpg,[],[],[],[],[],1200000,900000,[],گرد
پیراهن مردانه AIRBORNE زیتونی,https://maxbax.com/Product/MaxBax-346021/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-airborne-%d8%b2%db%8c%d8%aa%d9%88%d9%86%db%8c/,https://maxbax.com/wp-content/uploads/2021/03/photo_2021-03-29_10-29-26.jpg,[],[],[],[],[],1560000,1260000,[],یقه
پیراهن مردانه جین آبی ONE_975,https://maxbax.com/Product/MaxBax-372583/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%ac%db%8c%d9%86-%d8%a2%d8%a8%db%8c-one_975/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-22_20-10-09.jpg,[],[],[],[],[],1800000,1500000,[],یقه
پیراهن مردانه جین سرمه ای ONE_975,https://maxbax.com/Product/MaxBax-372560/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%ac%db%8c%d9%86-%d8%b3%d8%b1%d9%85%d9%87-%d8%a7%db%8c-one_975/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-22_20-10-48.jpg,[],[],[],[],[],1800000,1500000,[],یقه
پیراهن مردانه Fashion_سرمه ای,https://maxbax.com/Product/MaxBax-365947/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-fashion_%d8%b3%d8%b1%d9%85%d9%87-%d8%a7%db%8c/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-09_16-21-25.jpg,[],[],[],[],[],1200000,900000,[],گرد
پیراهن آستین کوتاه FENDI -کد ۲۲۴۸,https://maxbax.com/Product/MaxBax-316727/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d8%a2%d8%b3%d8%aa%db%8c%d9%86-%da%a9%d9%88%d8%aa%d8%a7%d9%87-fendi-%da%a9%d8%af-2248/,https://maxbax.com/wp-content/uploads/2021/02/photo_2021-02-22_12-30-08.jpg,[],[],[],[],[],[],[],[],یقه
پیراهن مردانه چهارخانه Dior_کد ۲۷۵۹,https://maxbax.com/Product/MaxBax-355678/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d8%a7%d9%86%d9%87-dior_%da%a9%d8%af-2759/,https://maxbax.com/wp-content/uploads/2021/04/photo_2021-04-15_20-58-06.jpg,[],[],[],[],[],1320000,1020000,[],یقه
پیراهن مردانه چهارخانه تامی_کد ۲۷۴۷,https://maxbax.com/Product/MaxBax-355424/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d8%a7%d9%86%d9%87-%d8%aa%d8%a7%d9%85%db%8c_%da%a9%d8%af-2747/,https://maxbax.com/wp-content/uploads/2021/04/photo_2021-04-15_20-10-50.jpg,[],[],[],[],[],1320000,1020000,[],یقه
پیراهن مردانه چهارخانه ZARA_کد ۲۷۱۰,https://maxbax.com/Product/MaxBax-352273/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d8%a7%d9%86%d9%87-zara_%da%a9%d8%af-2710/,https://maxbax.com/wp-content/uploads/2021/04/photo_2021-04-11_19-19-33.jpg,[],[],[],[],[],1260000,960000,[],یقه
پیراهن مردانه چهارخانه Uh_کد ۲۷۶۰,https://maxbax.com/Product/MaxBax-355686/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d8%a7%d9%86%d9%87-uh_%da%a9%d8%af-2760/,https://maxbax.com/wp-content/uploads/2021/04/photo_2021-04-15_19-39-36.jpg,[],[],[],[],[],1320000,1020000,[],یقه
