Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Price,Discounted Percent,Collar,Sleeve
تیشرت لی زاپدار آبی روشن,https://maxbax.com/Product/MaxBax-342972/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%84%db%8c-%d8%b2%d8%a7%d9%be%d8%af%d8%a7%d8%b1-%d8%a2%d8%a8%db%8c-%d8%b1%d9%88%d8%b4%d9%86/,https://maxbax.com/wp-content/uploads/2021/03/photo_2021-03-19_13-16-23.jpg,[],[],[],[],[],1620000,1440000,کوناه,گرد
تیشرت مردانه طرح چهره WOOD,https://maxbax.com/Product/MaxBax-374033/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b7%d8%b1%d8%ad-%da%86%d9%87%d8%b1%d9%87-wood/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-24_12-49-51.jpg,[],[],[],[],[],850000,550000,کوناه,گرد
تیشرت مردانه VIKINGS_کد ۲۸۹۹,https://maxbax.com/Product/MaxBax-374024/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-vikings_%da%a9%d8%af-2899/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-24_12-50-10.jpg,[],[],[],[],[],850000,550000,کوناه,گرد
تیشرت مردانه راه راه POKER,https://maxbax.com/Product/MaxBax-374023/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b1%d8%a7%d9%87-%d8%b1%d8%a7%d9%87-poker/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-24_12-50-50.jpg,[],[],[],[],[],850000,550000,کوناه,گرد
تیشرت مردانه طرح دار آدیداس طوسی,https://maxbax.com/Product/MaxBax-374022/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b7%d8%b1%d8%ad-%d8%af%d8%a7%d8%b1-%d8%a2%d8%af%db%8c%d8%af%d8%a7%d8%b3-%d8%b7%d9%88%d8%b3%db%8c/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-24_12-50-42.jpg,[],[],[],[],[],850000,550000,کوناه,گرد
تیشرت مردانه طرح برگ SPECIAL,https://maxbax.com/Product/MaxBax-374005/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b7%d8%b1%d8%ad-%d8%a8%d8%b1%da%af-special/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-24_12-50-31.jpg,[],[],[],[],[],850000,550000,کوناه,گرد
تیشرت مردانه THE WITCHER,https://maxbax.com/Product/MaxBax-374004/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-the-witcher/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-24_12-50-04.jpg,[],[],[],[],[],850000,550000,کوناه,گرد
تیشرت مردانه طرح برگ آبی,https://maxbax.com/Product/MaxBax-374003/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b7%d8%b1%d8%ad-%d8%a8%d8%b1%da%af-%d8%a2%d8%a8%db%8c/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-24_12-50-37.jpg,[],[],[],[],[],850000,550000,کوناه,گرد
تیشرت مردانه طرح رُز NEW YORK,https://maxbax.com/Product/MaxBax-374002/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b7%d8%b1%d8%ad-%d8%b1%d9%8f%d8%b2-new-york/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-24_12-50-22.jpg,[],[],[],[],[],850000,550000,کوناه,گرد
تیشرت مردانه طرح شلوغ_کد ۲۸۹۷,https://maxbax.com/Product/MaxBax-374000/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b7%d8%b1%d8%ad-%d8%b4%d9%84%d9%88%d8%ba_%da%a9%d8%af-2897/,https://maxbax.com/wp-content/uploads/2021/05/photo_2021-05-24_12-49-58.jpg,[],[],[],[],[],850000,550000,کوناه,گرد
