Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Eleventh Image,Twelve Image,Thirteenth Image,Fourteenth Image,Fifteenth,Sixteenth,Seventeenth,Eighteenth,Price,Discounted Price,Sleeve
پیراهن جین,https://riskonline.ir/product/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d8%ac%db%8c%d9%86-2/,https://riskonline.ir/oakoocke/2021/05/12-14.jpg,https://riskonline.ir/oakoocke/2021/05/12-14.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1450000,1450000, بلند
پیراهن جین,https://riskonline.ir/product/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d8%ac%db%8c%d9%86/,https://riskonline.ir/oakoocke/2021/05/11-13.jpg,https://riskonline.ir/oakoocke/2021/05/11-13.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1450000,1450000, بلند
پیراهن هاوایی,https://riskonline.ir/product/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%87%d8%a7%d9%88%d8%a7%db%8c%db%8c-8/,https://riskonline.ir/oakoocke/2021/05/12-3.jpg,https://riskonline.ir/oakoocke/2021/05/12-3.jpg,https://riskonline.ir/oakoocke/2021/05/PIRAHAN-HAVAEI-98.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],980000,980000, کوتاه
پیراهن هاوایی,https://riskonline.ir/product/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%87%d8%a7%d9%88%d8%a7%db%8c%db%8c-7/,https://riskonline.ir/oakoocke/2021/05/11-4.jpg,https://riskonline.ir/oakoocke/2021/05/11-4.jpg,https://riskonline.ir/oakoocke/2021/05/PIRAHAN-HAVAEI-98.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],980000,980000, کوتاه
پیراهن چهارخانه CHaneL,https://riskonline.ir/product/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d8%a7%d9%86%d9%87-chanel-4/,https://riskonline.ir/oakoocke/2021/05/34-1.jpg,https://riskonline.ir/oakoocke/2021/05/34-1.jpg,https://riskonline.ir/oakoocke/2021/05/pirahan-M-2XL-copy-1.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],980000,980000, بلند
پیراهن چهارخانه,https://riskonline.ir/product/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d8%a7%d9%86%d9%87-7/,https://riskonline.ir/oakoocke/2021/05/33-1.jpg,https://riskonline.ir/oakoocke/2021/05/33-1.jpg,https://riskonline.ir/oakoocke/2021/05/charkhune-T.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],980000,980000, بلند
پیراهن چهارخانه ChaNeL,https://riskonline.ir/product/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d8%a7%d9%86%d9%87-chanel-3/,https://riskonline.ir/oakoocke/2021/05/35-1.jpg,https://riskonline.ir/oakoocke/2021/05/35-1.jpg,https://riskonline.ir/oakoocke/2021/05/pirahan-M-2XL-copy-1.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],980000,980000, بلند
پیراهن هاوایی,https://riskonline.ir/product/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%87%d8%a7%d9%88%d8%a7%db%8c%db%8c-5/,https://riskonline.ir/oakoocke/2021/05/5-3.jpg,https://riskonline.ir/oakoocke/2021/05/5-3.jpg,https://riskonline.ir/oakoocke/2021/05/PIRAHAN-HAVAEI-98.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],980000,980000, کوتاه
پیراهن هاوایی,https://riskonline.ir/product/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%87%d8%a7%d9%88%d8%a7%db%8c%db%8c-4/,https://riskonline.ir/oakoocke/2021/05/4-4.jpg,https://riskonline.ir/oakoocke/2021/05/4-4.jpg,https://riskonline.ir/oakoocke/2021/05/PIRAHAN-HAVAEI-98.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],980000,980000, کوتاه
پیراهن هاوایی,https://riskonline.ir/product/%d9%be%db%8c%d8%b1%d8%a7%d9%87%d9%86-%d9%87%d8%a7%d9%88%d8%a7%db%8c%db%8c-3/,https://riskonline.ir/oakoocke/2021/05/2-5.jpg,https://riskonline.ir/oakoocke/2021/05/2-5.jpg,https://riskonline.ir/oakoocke/2021/05/PIRAHAN-HAVAEI-98.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],980000,980000, کوتاه
