Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Value of Discount,Collar,Sleeve
پبراهن مردانه کامیچی سیما مدل PRAGUE,https://rosha.ir/cm-prague-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_prague.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_prague.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_prague.jpg,[],[],[],[],[],20710000,20710000,بلند,[]
پبراهن مردانه کامیچی سیما مدل MYKONOS,https://rosha.ir/cm-mykonos-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_mykonos.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_mykonos.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_mykonos.jpg,[],[],[],[],[],19620000,19620000,بلند,[]
پبراهن مردانه کامیچی سیما مدل BASEL,https://rosha.ir/cm-basel-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_basel.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_basel.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_basel.jpg,[],[],[],[],[],19620000,19620000,بلند,[]
پبراهن مردانه کامیچی سیما مدل LINZ,https://rosha.ir/cm-linz-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_linz.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_linz.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_linz.jpg,[],[],[],[],[],19620000,19620000,بلند,[]
پبراهن مردانه کامیچی سیما مدل MOSCOW,https://rosha.ir/cm-moscow-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_moscow.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_moscow.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_moscow.jpg,[],[],[],[],[],19620000,19620000,بلند,[]
پبراهن مردانه کامیچی سیما مدل ZURICH,https://rosha.ir/cm-zurich-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_zurich.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_zurich.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_zurich.jpg,[],[],[],[],[],19620000,19620000,بلند,[]
پبراهن مردانه کامیچی سیما مدل LUGANO,https://rosha.ir/cm-lugano-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_lugano.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_lugano.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_lugano.jpg,[],[],[],[],[],19620000,19620000,بلند,[]
پبراهن مردانه کامیچی سیما مدل ROTTERDAM,https://rosha.ir/cm-rotterdam-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_rotterdam.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_rotterdam.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_rotterdam.jpg,[],[],[],[],[],19620000,19620000,بلند,[]
پبراهن مردانه کامیچی سیما مدل CCCTLDPBG,https://rosha.ir/cm-ccctldpbg-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_ccctldpbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_ccctldpbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_ccctldpbg.jpg,[],[],[],[],[],16350000,16350000,بلند,[]
پبراهن مردانه کامیچی سیما مدل CCCTLEPBG,https://rosha.ir/cm-ccctlepbg-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_ccctlepbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_ccctlepbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_ccctlepbg.jpg,[],[],[],[],[],16350000,16350000,بلند,[]
پبراهن مردانه کامیچی سیما مدل CCCTLDABG,https://rosha.ir/cm-ccctldabg-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_ccctldabg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_ccctldabg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_ccctldabg.jpg,[],[],[],[],[],16350000,16350000,بلند,[]
پبراهن مردانه کامیچی سیما مدل PALERMO,https://rosha.ir/cm-palermo-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_palermo.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_palermo.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_palermo.jpg,[],[],[],[],[],14170000,14170000,بلند,[]
پبراهن مردانه کامیچی سیما مدل GENOVA,https://rosha.ir/cm-genova-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_genova.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_genova.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_genova.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
