Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Value of Discount,Collar,Sleeve
purple,https://rosha.ir/oe-2112304-corum-mens-t-shirts.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2112304.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2112304.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2112304.jpg,[],[],[],[],[],5890000,5890000,کوتاه,[]
blue,https://rosha.ir/oe-2112301-corum-mens-t-shirts.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2112301.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2112301.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2112301.jpg,[],[],[],[],[],5890000,5890000,کوتاه,[]
تی شرت یقه گرد طرح دار کروم مدل OE_2110611,https://rosha.ir/oe-2110611-corum-mens-t-shirts.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2110611.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2110611.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2110611.jpg,[],[],[],[],[],4290000,4290000,کوتاه, گرد 
تی شرت یقه گرد چرمی کروم مدل OE_2110604,https://rosha.ir/oe-2110604-corum-mens-t-shirts.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2110604.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2110604.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2110604.jpg,[],[],[],[],[],4290000,4290000,کوتاه, گرد 
تی شرت یقه گرد طرح دار کروم مدل OE_2110609,https://rosha.ir/oe-2110609-corum-mens-t-shirts.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2110609.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2110609.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2110609.jpg,[],[],[],[],[],4290000,4290000,کوتاه, گرد 
تی شرت یقه گرد چرمی کروم مدل OE_2110603,https://rosha.ir/oe-2110603-corum-mens-t-shirts.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2110603.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2110603.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2110603.jpg,[],[],[],[],[],4290000,4290000,کوتاه, گرد 
تی شرت یقه گرد کروم مدل OE_2110601,https://rosha.ir/oe-2110601-corum-mens-t-shirts.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2110601.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2110601.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2110601.jpg,[],[],[],[],[],2890000,2890000,کوتاه, گرد 
red,https://rosha.ir/gd-2003107016-garoudi-men-sweater.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/g/d/gd_2003107016.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/g/d/gd_2003107016.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/g/d/gd_2003107016.jpg,[],[],[],[],[],2490000,2490000,کوتاه,[]
تیشرت مردانه و زنانه گرِی مدل L0_WHATSNORMALS20,https://rosha.ir/l0-whatsnormals20-grayunisext-shirts.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/l/0/l0_whatsnormals20_4.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/l/0/l0_whatsnormals20_4.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/l/0/l0_whatsnormals20_4.jpg,[],[],[],[],[],1970000,1970000,کوتاه,[]
تیشرت مردانه و زنانه گرِی مدل L0_BASICPOCKETLESS,https://rosha.ir/l0-basicpocketless-grayunisext-shirts.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/l/0/l0_basicpocketless_4.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/l/0/l0_basicpocketless_4.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/l/0/l0_basicpocketless_4.jpg,[],[],[],[],[],1970000,1970000,کوتاه,[]
blue,https://rosha.ir/gd-2003104016-garoudi-men-t-shirts.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/g/d/gd_2003104016.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/g/d/gd_2003104016.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/g/d/gd_2003104016.jpg,[],[],[],[],[],2090000,1672000,کوتاه,[]
blue,https://rosha.ir/gd-2003107018-garoudi-men-blouse.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/g/d/gd_2003107018.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/g/d/gd_2003107018.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/g/d/gd_2003107018.jpg,[],[],[],[],[],2090000,2090000,کوتاه,[]
black,https://rosha.ir/l0-basic2020-gray-unisex-t-shirts.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/l/0/l0_basic2020.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/l/0/l0_basic2020.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/l/0/l0_basic2020.jpg,[],[],[],[],[],1590000,1590000,کوتاه,[]
