Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Collar
MENS SHIRT-DOPRIS,https://www.salian.com/men/clothes/dress-shirt/mens-shirt-dopris.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_66394_1621242714.jpg?tp=444306382,[],[],[],[],[],[],[],4900000,3675000,[]
MENS STRIPED SHIRT-PATIK,https://www.salian.com/men/clothes/dress-shirt/mens-striped-shirt-patik.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_65512_1621258555.jpg?tp=1792548049,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_65512_1621258555_1.jpg?tp=222391774,[],[],[],[],[],[],5200000,3900000,[]
MENS STRIPED SHIRT-PETRO,https://www.salian.com/men/clothes/dress-shirt/mens-striped-shirt-petro.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_65501_1619616436.jpg?tp=668378751,[],[],[],[],[],[],[],5200000,3900000,[]
MENS SHIRT-CLAYTON,https://www.salian.com/men/clothes/dress-shirt/mens-shirt-clayton.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63617_1621144491.jpg?tp=235459690,[],[],[],[],[],[],[],4750000,3562500,[]
MENS CHECKED SHIRT-CLENZY,https://www.salian.com/men/clothes/dress-shirt/mens-checked-shirt-clenzy.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_62567_1617824547.jpg?tp=1133346092,[],[],[],[],[],[],[],4900000,3675000,[]
MENS PLAIN SHIRT-BOYKO,https://www.salian.com/men/clothes/dress-shirt/mens-plain-shirt-boyko.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_62561_1620632314.jpg?tp=1649449939,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_62561_1620632315.jpg?tp=814432889,[],[],[],[],[],[],5250000,3937500,[]
MENS POLKA DOT SHIRT-BORG,https://www.salian.com/men/clothes/dress-shirt/mens-polka-dot-shirt-borg.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_61295_1619358724.jpg?tp=942981146,[],[],[],[],[],[],[],6480000,4860000,[]
MENS PLAIN SHIRT-ARAKS,https://www.salian.com/men/clothes/dress-shirt/mens-plain-shirt-araks.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_61193_1619358663.jpg?tp=1940708183,[],[],[],[],[],[],[],6300000,4725000,[]
MENS POLKA DOT SHIRT-BRANCH,https://www.salian.com/men/clothes/dress-shirt/mens-polka-dot-shirt-branch.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_58286_1620544204.jpg?tp=1794559395,[],[],[],[],[],[],[],6480000,4860000,[]
MENS CHECKED SHIRT-BOB,https://www.salian.com/men/clothes/dress-shirt/mens-checked-shirt-bob.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_58280_1621085027.jpg?tp=1553673298,[],[],[],[],[],[],[],6950000,5212500,[]
