Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Collar
WOMENS MOM FIT DENIM PANT-MADA,https://www.salian.com/catalog/product/view/id/67327/s/womens-mom-fit-denim-pant-mada/category/168/,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_67327_1621437974.jpg?tp=455064567,[],[],[],[],[],[],[],6250000,4687500,[]
WOMENS LOOSE PANT-MARFO,https://www.salian.com/women/clothes/pants/womens-loose-pant-marfo.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_66964_1620735055.jpg?tp=1487033341,[],[],[],[],[],[],[],5950000,4462500,[]
WOMENS DENIM LOOSE PANT-LALITA,https://www.salian.com/women/clothes/pants/womens-denim-loose-pant-lalita.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_65946_1621435187.jpg?tp=596001317,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_65946_1621435191.jpg?tp=2029099734,[],[],[],[],[],[],7200000,5400000,[]
WOMENS PANT-DEMON,https://www.salian.com/women/clothes/pants/womens-pant-demon.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_65871_1620995923.jpg?tp=1837552002,[],[],[],[],[],[],[],6500000,4875000,[]
WOMENS DOUBLE CUFF PANT-LAVEDA,https://www.salian.com/women/clothes/pants/womens-double-cuff-pant-laveda.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_61649_1620312776.jpg?tp=958343027,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_61649_1620312777.jpg?tp=754643271,[],[],[],[],[],[],6380000,4785000,[]
WOMENS SLIM FIT DENIM PANT-SAL,https://www.salian.com/women/clothes/pants/womens-slim-fit-denim-pant-sal.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60322_1621427518.jpg?tp=654924729,[],[],[],[],[],[],[],4750000,3562500,[]
WOMENS MOMFIT DENIM PANT-MARIL,https://www.salian.com/women/clothes/pants/womens-momfit-denim-pant-maril.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60134_1621146863.jpg?tp=1472700512,[],[],[],[],[],[],[],4750000,3562500,[]
WOMENS DENIM PANT-RIMA,https://www.salian.com/women/clothes/pants/womens-denim-pant-rima.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60128_1621331727.jpg?tp=1708517536,[],[],[],[],[],[],[],4750000,3562500,[]
WOMENS PANT-ISAN,https://www.salian.com/women/clothes/pants/womens-pant-isan.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_59221_1620707813.jpg?tp=934817918,[],[],[],[],[],[],[],5800000,4350000,[]
WOMENS PANT-ELLA,https://www.salian.com/women/clothes/pants/womens-pant-ella.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_50581_1620201506.jpg?tp=1596157339,[],[],[],[],[],[],[],3980000,2985000,[]
