Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Collar
MENS SHIRT-DEPAK,https://www.salian.com/men/clothes/casual-shirt/mens-shirt-depak.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63753_1620320886.jpg?tp=959557094,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63753_1620320893.jpg?tp=1833705431,[],[],[],[],[],[],6200000,4650000,[]
MENS PRINTED  SHIRT-WISHO,https://www.salian.com/men/clothes/casual-shirt/mens-printed-shirt-wisho.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63747_1621261274.jpg?tp=267931950,[],[],[],[],[],[],[],4350000,3262500,[]
MENS STRIPED SHIRT-WIPAL,https://www.salian.com/men/clothes/casual-shirt/mens-striped-shirt-wipal.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63705_1620237027.jpg?tp=1745818236,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63705_1620237033.jpg?tp=1370955630,[],[],[],[],[],[],4750000,3562500,[]
MENS SHIRT-WIDOK,https://www.salian.com/men/clothes/casual-shirt/mens-shirt-widok.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63694_1621231224.jpg?tp=1718570800,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63694_1621231231.jpg?tp=729958152,[],[],[],[],[],[],4280000,3210000,[]
MENS SHORT SLEEVE  SHIRT-ATRIS,https://www.salian.com/men/clothes/casual-shirt/mens-short-sleeve-shirt-atris.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63655_1621167137.jpg?tp=1719520178,[],[],[],[],[],[],[],4800000,3600000,[]
MENS CHECKED SHIRT-WALMOND,https://www.salian.com/men/clothes/casual-shirt/mens-checked-shirt-walmond.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63536_1621428613.jpg?tp=591543340,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63536_1621428617.jpg?tp=104686172,[],[],[],[],[],[],6750000,5062500,[]
MENS PLAIN SHIRT-WALDI,https://www.salian.com/men/clothes/casual-shirt/mens-plain-shirt-waldi.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63530_1621159564.jpg?tp=1043933875,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63530_1621159572.jpg?tp=502352178,[],[],[],[],[],[],4380000,3285000,[]
MENS CHECKED SHIRT-WIT,https://www.salian.com/men/clothes/casual-shirt/mens-checked-shirt-wit.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63437_1619957820.jpg?tp=978082227,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63437_1619957823.jpg?tp=1376545936,[],[],[],[],[],[],5250000,3937500,[]
MENS CHECKED SHIRT-WARIUS,https://www.salian.com/men/clothes/casual-shirt/mens-checked-shirt-warius.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63431_1621231133.jpg?tp=348495510,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63431_1621231139.jpg?tp=1170400353,[],[],[],[],[],[],5250000,3937500,[]
MENS CHECKED SHIRT-WIDELL,https://www.salian.com/men/clothes/casual-shirt/mens-checked-shirt-widell.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63425_1619070219.jpg?tp=1891278954,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63425_1619070222.jpg?tp=472688009,[],[],[],[],[],[],5250000,3937500,[]
