Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Collar
MENS POLO SHIRT-KNOLL,https://www.salian.com/men/clothes/t-shirt/mens-polo-shirt-knoll.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_66626_1621508457.jpg?tp=1353682064,[],[],[],[],[],[],[],4100000,3075000,[]
MENS PRINTED POLO SHIRT-LEAF,https://www.salian.com/men/clothes/t-shirt/mens-printed-polo-shirt-leaf.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64915_1621430401.jpg?tp=808329283,[],[],[],[],[],[],[],4200000,3150000,[]
MENS POLO SHIRT-KERNIS,https://www.salian.com/men/clothes/t-shirt/mens-polo-shirt-kernis.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64899_1621330889.jpg?tp=2051373959,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64899_1621330893.jpg?tp=242676275,[],[],[],[],[],[],4150000,3112500,[]
MENS CREW NECK T-SHIRT-BURNEY,https://www.salian.com/men/clothes/t-shirt/mens-crew-neck-t-shirt-burney.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64883_1620726202.jpg?tp=2052040059,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64883_1620726207.jpg?tp=1896411601,[],[],[],[],[],[],3780000,2835000,[]
MENS PRINTED T-SHIRT-ROLL,https://www.salian.com/men/clothes/t-shirt/mens-printed-t-shirt-roll.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64872_1621342649.jpg?tp=108631934,[],[],[],[],[],[],[],2750000,2062500,[]
MENS PRINTED T-SHIRT-FIG,https://www.salian.com/men/clothes/t-shirt/mens-printed-t-shirt-fig.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64861_1621508262.jpg?tp=2004704218,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64861_1621508265.jpg?tp=133168129,[],[],[],[],[],[],2980000,2235000,[]
MENS PRINTED T-SHIRT-CUBE,https://www.salian.com/men/clothes/t-shirt/mens-printed-t-shirt-cube.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64855_1620051614.jpg?tp=693774957,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64855_1620051617.jpg?tp=2045778820,[],[],[],[],[],[],2750000,2062500,[]
MENS PRINTED T-SHIRT-TEHRAN,https://www.salian.com/men/clothes/t-shirt/mens-printed-t-shirt-tehran.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64830_1621141286.jpg?tp=857462530,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64830_1621141292.jpg?tp=1267636797,[],[],[],[],[],[],2850000,2137500,[]
MENS PRINTED T-SHIRT-TYPE,https://www.salian.com/men/clothes/t-shirt/mens-printed-t-shirt-type.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64824_1620277072.jpg?tp=962332612,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64824_1620277077.jpg?tp=74205149,[],[],[],[],[],[],2850000,2137500,[]
MENS PRINTED T-SHIRT-ABSTRACT,https://www.salian.com/men/clothes/t-shirt/mens-printed-t-shirt-abstract.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64818_1621256396.jpg?tp=434554314,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64818_1621256399.jpg?tp=1783762311,[],[],[],[],[],[],2980000,2235000,[]
MENS CREW NECK T-SHIRT-BUCKY,https://www.salian.com/men/clothes/t-shirt/mens-crew-neck-t-shirt-bucky.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64812_1621430760.jpg?tp=1898238428,[],[],[],[],[],[],[],3880000,2910000,[]
MENS PRINTED T-SHIRT-PANTONE,https://www.salian.com/men/clothes/t-shirt/mens-printed-t-shirt-pantone.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64782_1621428352.jpg?tp=64929497,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64782_1621428356.jpg?tp=892898455,[],[],[],[],[],[],2650000,1987500,[]
MENS POLO SHIRT-KODIAK,https://www.salian.com/men/clothes/t-shirt/mens-polo-shirt-kodiak.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64387_1621430364.jpg?tp=1535245578,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64387_1621430367.jpg?tp=1107215072,[],[],[],[],[],[],4280000,3210000,[]
MENS CREW NECK T-SHIRT-BECHER,https://www.salian.com/men/clothes/t-shirt/mens-crew-neck-t-shirt-becher.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64376_1621508211.jpg?tp=1401009234,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64376_1621508215.jpg?tp=207538500,[],[],[],[],[],[],2980000,2235000,[]
MENS PRINTED T-SHIRT-LANDROVER,https://www.salian.com/men/clothes/t-shirt/mens-printed-t-shirt-landrover.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64257_1621431070.jpg?tp=464904269,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64257_1621431073.jpg?tp=157841557,[],[],[],[],[],[],2850000,2137500,[]
MENS PRINTED T-SHIRT-PACKMAN,https://www.salian.com/men/clothes/t-shirt/mens-printed-t-shirt-packman.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64251_1620548054.jpg?tp=410053424,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_64251_1620548058.jpg?tp=1940505772,[],[],[],[],[],[],2750000,2062500,[]
