Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Sleeve,Collar
تیشرت مردانه طرح دار سفید 2073,https://salset.com/product/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b7%d8%b1%d8%ad-%d8%af%d8%a7%d8%b1-%d8%b3%d9%81%db%8c%d8%af-2073/,https://salset.com/wp-content/uploads/2021/05/DSC5301.jpg,https://salset.com/wp-content/uploads/2021/05/DSC5302.jpg,https://salset.com/wp-content/uploads/2021/05/DSC5303.jpg,[],[],[],[],[],1850000,1390000,کوناه,برگردان
تیشرت مردانه طرح دار سفید 2072,https://salset.com/product/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b7%d8%b1%d8%ad-%d8%af%d8%a7%d8%b1-%d8%b3%d9%81%db%8c%d8%af-2072/,https://salset.com/wp-content/uploads/2021/05/DSC5304.jpg,https://salset.com/wp-content/uploads/2021/05/DSC5305.jpg,https://salset.com/wp-content/uploads/2021/05/DSC5306.jpg,[],[],[],[],[],1850000,1390000,کوناه,برگردان
تیشرت مردانه طرح دار سفید 2071,https://salset.com/product/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b7%d8%b1%d8%ad-%d8%af%d8%a7%d8%b1-%d8%b3%d9%81%db%8c%d8%af-2071/,https://salset.com/wp-content/uploads/2021/05/DSC5290.jpg,https://salset.com/wp-content/uploads/2021/05/DSC5289.jpg,https://salset.com/wp-content/uploads/2021/05/DSC5291.jpg,[],[],[],[],[],1850000,1390000,کوناه,برگردان
تیشرت مردانه Superdry طوسی 2065,https://salset.com/product/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b7%d9%88%d8%b3%db%8c-2065/,https://salset.com/wp-content/uploads/2021/05/DSC5024.jpg,https://salset.com/wp-content/uploads/2021/05/DSC5023.jpg,https://salset.com/wp-content/uploads/2021/05/DSC5025.jpg,[],[],[],[],[],1980000,1590000,کوناه,گرد
تیشرت مردانه Superdry خردلی 2064,https://salset.com/product/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%ae%d8%b1%d8%af%d9%84%db%8c-2064/,https://salset.com/wp-content/uploads/2021/05/DSC4995.jpg,https://salset.com/wp-content/uploads/2021/05/DSC4996.jpg,https://salset.com/wp-content/uploads/2021/05/DSC4997.jpg,[],[],[],[],[],1980000,1590000,کوناه,گرد
تیشرت مردانه Superdry صورتی 2063,https://salset.com/product/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b5%d9%88%d8%b1%d8%aa%db%8c-2063/,https://salset.com/wp-content/uploads/2021/05/DSC4991.jpg,https://salset.com/wp-content/uploads/2021/05/DSC4990.jpg,https://salset.com/wp-content/uploads/2021/05/DSC4992.jpg,[],[],[],[],[],1980000,1590000,کوناه,گرد
تیشرت مردانه Superdry سرمه ای 2062,https://salset.com/product/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b3%d8%b1%d9%85%d9%87-%d8%a7%db%8c-2062/,https://salset.com/wp-content/uploads/2021/05/DSC4987.jpg,https://salset.com/wp-content/uploads/2021/05/DSC4988.jpg,https://salset.com/wp-content/uploads/2021/05/DSC4989.jpg,[],[],[],[],[],1980000,1590000,کوناه,گرد
تیشرت مردانه Superdry فسفری 2061,https://salset.com/product/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d9%81%d8%b3%d9%81%d8%b1%db%8c-2061/,https://salset.com/wp-content/uploads/2021/05/DSC4985.jpg,https://salset.com/wp-content/uploads/2021/05/DSC4984.jpg,https://salset.com/wp-content/uploads/2021/05/DSC4986.jpg,[],[],[],[],[],1980000,1590000,کوناه,گرد
تیشرت مردانه DSQUARED مشکی 2060,https://salset.com/product/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d9%85%d8%b4%da%a9%db%8c-2060/,https://salset.com/wp-content/uploads/2021/05/DSC4981.jpg,https://salset.com/wp-content/uploads/2021/05/DSC4982.jpg,https://salset.com/wp-content/uploads/2021/05/DSC4983.jpg,[],[],[],[],[],1980000,1590000,کوناه,گرد
تیشرت مردانه G-Star طوسی 2057,https://salset.com/product/%d8%aa%db%8c%d8%b4%d8%b1%d8%aa-%d9%85%d8%b1%d8%af%d8%a7%d9%86%d9%87-%d8%b7%d9%88%d8%b3%db%8c-2057/,https://salset.com/wp-content/uploads/2021/05/DSC5008.jpg,https://salset.com/wp-content/uploads/2021/05/DSC5009.jpg,https://salset.com/wp-content/uploads/2021/05/DSC5010.jpg,[],[],[],[],[],1980000,1590000,کوناه,گرد
