Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Price,Discounted Price,Sleeve,Collar
پیراهن آستین کوتاه مردانه مدل  | P.BAZ.342 |,https://www.shixon.com/products/p60156412/?sac=59,https://img.shixon.com/products/14000230120701-8dd6c50e-9165-47dd-b7fa-0e0d318e7781.jpg,https://img.shixon.com/products/14000230120701-f95eb547-e43b-4163-a1d6-d496a467980e.jpg,https://img.shixon.com/products/14000230120701-b4bff964-433a-4526-ba24-e7142e01e31d.jpg,[],[],[],[],[],[],[],2500000,990000,کوتاه, برگردان
پیراهن آستین کوتاه مردانه مدل  | P.BAZ.343 |,https://www.shixon.com/products/p60156444/?sac=59,https://img.shixon.com/products/14000230122313-5191d551-d05e-4683-b910-e7b8dae87680.jpg,https://img.shixon.com/products/14000230122313-3763f6b1-2a80-40f8-bd60-541f1c1518de.jpg,https://img.shixon.com/products/14000230122313-2d78e44d-d704-4c74-a72e-b56f99e87dac.jpg,[],[],[],[],[],[],[],2500000,990000,کوتاه, برگردان
پیراهن آستین کوتاه مردانه مدل  | P.BAZ.346 |,https://www.shixon.com/products/p60156445/?sac=59,https://img.shixon.com/products/14000230124834-ff5527b2-107f-4f46-b341-373f54c4974d.jpg,https://img.shixon.com/products/14000230124834-e2d87873-92ab-4333-a1a7-545fba310e10.jpg,https://img.shixon.com/products/14000230124834-36ba0839-377e-4886-942f-3f8e8ecb64df.jpg,[],[],[],[],[],[],[],2500000,990000,کوتاه, برگردان
پیراهن آستین کوتاه مردانه مدل  | P.BAZ.348 |,https://www.shixon.com/products/p60156446/?sac=59,https://img.shixon.com/products/14000230131114-bdf39b9b-639f-493a-8dd3-ce1abe56028b.jpg,https://img.shixon.com/products/14000230131115-11c7f015-e6fc-42ae-90a1-513645cc93c7.jpg,https://img.shixon.com/products/14000230131115-66a91b0b-4a91-4c06-bdeb-29b8567d61e4.jpg,[],[],[],[],[],[],[],2500000,990000,کوتاه, برگردان
پیراهن آستین بلند مردانه مدل  | P.BAZ.341 |,https://www.shixon.com/products/p60156447/?sac=59,https://img.shixon.com/products/14000230132327-d78918d7-564e-4415-8cee-5183bb26f517.jpg,https://img.shixon.com/products/14000230132327-778361f4-edaa-4d73-b5f7-4c1230fdd7f9.jpg,https://img.shixon.com/products/14000230132327-e0e6bf37-0cc6-4ef7-bc8e-59a955375b16.jpg,[],[],[],[],[],[],[],2500000,990000,بلند,برگردان
پیراهن آستین کوتاه مردانه مدل  | P.BAZ.345 |,https://www.shixon.com/products/p60156448/?sac=59,https://img.shixon.com/products/14000230133554-fc8adc6c-d3b5-453b-a123-f01dbeed01d3.jpg,https://img.shixon.com/products/14000230133554-8020e8bf-659e-41da-b18e-ce911ff6cfd5.jpg,https://img.shixon.com/products/14000230133554-4d944735-0e9c-4daa-a017-82e27a953682.jpg,[],[],[],[],[],[],[],2500000,990000,کوتاه,برگردان
پیراهن آستین بلند مردانه مدل  | P.BAZ.338 |,https://www.shixon.com/products/p60156449/?sac=59,https://img.shixon.com/products/14000230134411-50545ca5-214d-4b73-8e64-eab69a7ff1e2.jpg,https://img.shixon.com/products/14000230134411-9890a22a-c0ec-4e0d-acb0-6cca4735b5ab.jpg,https://img.shixon.com/products/14000230134411-b702ea2b-6e4f-4eae-8ae5-3891880dc4d3.jpg,[],[],[],[],[],[],[],2500000,990000,بلند,برگردان
پیراهن آستین بلند مردانه مدل  | P.BAZ.350 |,https://www.shixon.com/products/p60156451/?sac=59,https://img.shixon.com/products/14000230151556-8a36f1be-e778-41d8-800a-d64c79f4740d.jpg,https://img.shixon.com/products/14000230151556-922918bb-96f9-4e71-ba46-4e9af3110586.jpg,https://img.shixon.com/products/14000230151556-7011805f-9d4a-4911-b1b2-94ad747334f0.jpg,[],[],[],[],[],[],[],2500000,990000,بلند,برگردان
پیراهن آستین بلند مردانه مدل  | P.BAZ.340 |,https://www.shixon.com/products/p60156452/?sac=59,https://img.shixon.com/products/14000230152835-55528070-842a-40c3-9fbf-dd0bae32272a.jpg,https://img.shixon.com/products/14000230152835-2357d12b-7e53-49f9-a9c3-1d6ecc6928d9.jpg,https://img.shixon.com/products/14000230152835-edad2660-4aa4-4723-ae17-921d9d8ac81c.jpg,[],[],[],[],[],[],[],2500000,990000,بلند,برگردان
پیراهن آستین بلند مردانه مدل  | P.BAZ.349 |,https://www.shixon.com/products/p60156453/?sac=59,https://img.shixon.com/products/14000230154210-63a7921d-0e93-4fe5-8c7e-be0e6a168a52.jpg,https://img.shixon.com/products/14000230154210-fb80ac79-5d2f-43e3-ab6e-11d023645608.jpg,https://img.shixon.com/products/14000230154210-b082e2d5-3ad3-4bf2-b76b-a5f800d6b2d9.jpg,[],[],[],[],[],[],[],2500000,990000,بلند,برگردان
پیراهن آستین بلند مردانه مدل  | P.BAZ.354 |,https://www.shixon.com/products/p60156454/?sac=59,https://img.shixon.com/products/14000230155721-d3aa24e2-33b9-4687-bf80-023faad43b77.jpg,https://img.shixon.com/products/14000230155721-4346f3bb-73ea-4d96-8980-1f2f0fb8ddc8.jpg,https://img.shixon.com/products/14000230155721-04b1cf88-7bf3-4fde-b0ad-ffaec44a6dcd.jpg,[],[],[],[],[],[],[],2500000,990000,بلند,برگردان
پیراهن آستین بلند مردانه مدل  | P.BAZ.344 |,https://www.shixon.com/products/p60156455/?sac=59,https://img.shixon.com/products/14000230161448-089d89d0-cef6-4d9d-ab3f-00dbc0ebc16c.jpg,https://img.shixon.com/products/14000230161448-782349c6-d3f3-430f-8138-1fc141a76412.jpg,https://img.shixon.com/products/14000230161448-bdc5d095-55f6-4010-8474-7d3d0935110a.jpg,[],[],[],[],[],[],[],2500000,990000,بلند,برگردان
پیراهن آستین بلند مردانه مدل  | P.BAZ.352 |,https://www.shixon.com/products/p60156457/?sac=59,https://img.shixon.com/products/14000230163021-c84a5a0c-c4df-4b9c-afdf-b718da93de43.jpg,https://img.shixon.com/products/14000230163021-16492843-1a6b-472a-8f50-eec7b6eefa54.jpg,https://img.shixon.com/products/14000230163021-78faee69-2df9-4c80-bf34-5f9903f7b1a0.jpg,[],[],[],[],[],[],[],2500000,990000,بلند,برگردان
پیراهن آستین بلند مردانه مدل  | P.BAZ.347 |,https://www.shixon.com/products/p60156458/?sac=59,https://img.shixon.com/products/14000230163847-c06824db-1194-490f-bea9-e4dbd5a6e8c7.jpg,https://img.shixon.com/products/14000302155618-bd948428-7bef-4ba2-9e49-d8292d20990d.jpg,https://img.shixon.com/products/14000230163847-02f794f7-352b-4aa6-bd2b-7e3a1bc3b234.jpg,https://img.shixon.com/products/14000230163847-61aa4cf3-62e3-44d0-ad67-317828a1a170.jpg,[],[],[],[],[],[],2500000,990000,بلند,برگردان
