Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Price,Discounted Price,Sleeve,Collar
تیشرت مشکی ساده,https://torkjameh.com/خرید-لباس-مردانه/48600-خرید-لباس-مردانه-تیشرت-مشکی-ساده-آقایان-bershka.html,https://torkjameh.com/141918-thickbox_default/خرید-لباس-مردانه-تیشرت-مشکی-ساده-آقایان-bershka.jpg,https://torkjameh.com/141919-thickbox_default/خرید-لباس-مردانه-تیشرت-مشکی-ساده-آقایان-bershka.jpg,[],[],[],[],[],[],[],2940000,2940000,کوناه,[]
تیشرت طرح برجسته مردانه,https://torkjameh.com/خرید-لباس-مردانه/48588-خرید-لباس-مردانه-تیشرت-طرح-برجسته-مردانه-آقایان-bershka.html,https://torkjameh.com/141895-thickbox_default/خرید-لباس-مردانه-تیشرت-طرح-برجسته-مردانه-آقایان-bershka.jpg,https://torkjameh.com/141896-thickbox_default/خرید-لباس-مردانه-تیشرت-طرح-برجسته-مردانه-آقایان-bershka.jpg,[],[],[],[],[],[],[],2940000,2940000,کوناه,[]
تیشرت شیک مردانه,https://torkjameh.com/خرید-لباس-مردانه/48585-خرید-لباس-مردانه-تیشرت-شیک-مردانه-آقایان-bershka.html,https://torkjameh.com/141892-thickbox_default/خرید-لباس-مردانه-تیشرت-شیک-مردانه-آقایان-bershka.jpg,https://torkjameh.com/141891-thickbox_default/خرید-لباس-مردانه-تیشرت-شیک-مردانه-آقایان-bershka.jpg,[],[],[],[],[],[],[],2940000,2940000,کوناه,[]
تیشرت اسپرت جدید,https://torkjameh.com/خرید-لباس-مردانه/48550-خرید-لباس-مردانه-تیشرت-اسپرت-جدید-آقایان-n11.html,https://torkjameh.com/141834-thickbox_default/خرید-لباس-مردانه-تیشرت-اسپرت-جدید-آقایان-n11.jpg,[],[],[],[],[],[],[],[],1800000,1800000,کوناه,[]
تیشرت کلاه دار مردانه,https://torkjameh.com/خرید-لباس-مردانه/48549-خرید-لباس-مردانه-تیشرت-کلاه-دار-مردانه-آقایان-n11.html,https://torkjameh.com/141833-thickbox_default/خرید-لباس-مردانه-تیشرت-کلاه-دار-مردانه-آقایان-n11.jpg,[],[],[],[],[],[],[],[],2060000,2060000,کوناه,[]
تیشرت اسپرت مردانه,https://torkjameh.com/خرید-لباس-مردانه/48519-خرید-لباس-مردانه-تیشرت-اسپرت-مردانه-آقایان-marc.html,https://torkjameh.com/141780-thickbox_default/خرید-لباس-مردانه-تیشرت-اسپرت-مردانه-آقایان-marc.jpg,[],[],[],[],[],[],[],[],2950000,2950000,کوناه,[]
تیشرت ساده مردانه,https://torkjameh.com/خرید-لباس-مردانه/48516-خرید-لباس-مردانه-تیشرت-ساده-مردانه-آقایان-kaft.html,https://torkjameh.com/141777-thickbox_default/خرید-لباس-مردانه-تیشرت-ساده-مردانه-آقایان-kaft.jpg,[],[],[],[],[],[],[],[],3000000,3000000,کوناه,[]
تیشرت مردانه,https://torkjameh.com/خرید-لباس-مردانه/48515-خرید-لباس-مردانه-تیشرت-مردانه-آقایان-kaft.html,https://torkjameh.com/141775-thickbox_default/خرید-لباس-مردانه-تیشرت-مردانه-آقایان-kaft.jpg,[],[],[],[],[],[],[],[],3800000,3800000,کوناه,[]
تیشرت سفید طرحدار,https://torkjameh.com/خرید-لباس-مردانه/48514-خرید-لباس-مردانه-تیشرت-سفید-طرحدار-آقایان-kaft.html,https://torkjameh.com/141774-thickbox_default/خرید-لباس-مردانه-تیشرت-سفید-طرحدار-آقایان-kaft.jpg,[],[],[],[],[],[],[],[],3000000,3000000,کوناه,[]
تیشرت طرح اسکلت مشکی,https://torkjameh.com/خرید-لباس-مردانه/48505-خرید-لباس-مردانه-تیشرت-طرح-اسکلت-مشکی-آقایان-marc.html,https://torkjameh.com/141758-thickbox_default/خرید-لباس-مردانه-تیشرت-طرح-اسکلت-مشکی-آقایان-marc.jpg,https://torkjameh.com/141759-thickbox_default/خرید-لباس-مردانه-تیشرت-طرح-اسکلت-مشکی-آقایان-marc.jpg,[],[],[],[],[],[],[],1600000,1600000,کوناه,[]
تیشرت طرحدار مردانه,https://torkjameh.com/خرید-لباس-مردانه/48504-خرید-لباس-مردانه-تیشرت-طرحدار-مردانه-آقایان-marc.html,https://torkjameh.com/141756-thickbox_default/خرید-لباس-مردانه-تیشرت-طرحدار-مردانه-آقایان-marc.jpg,https://torkjameh.com/141757-thickbox_default/خرید-لباس-مردانه-تیشرت-طرحدار-مردانه-آقایان-marc.jpg,[],[],[],[],[],[],[],2000000,2000000,کوناه,[]
تیشرت یقه دار جدید,https://torkjameh.com/خرید-لباس-مردانه/48485-خرید-لباس-مردانه-تیشرت-یقه-دار-جدید-آقایان-koton.html,https://torkjameh.com/141722-thickbox_default/خرید-لباس-مردانه-تیشرت-یقه-دار-جدید-آقایان-koton.jpg,https://torkjameh.com/141723-thickbox_default/خرید-لباس-مردانه-تیشرت-یقه-دار-جدید-آقایان-koton.jpg,[],[],[],[],[],[],[],1540000,1540000,کوناه, دار 
تیشرت سفید طرحدار,https://torkjameh.com/خرید-لباس-مردانه/48484-خرید-لباس-مردانه-تیشرت-سفید-طرحدار-آقایان-koton.html,https://torkjameh.com/141720-thickbox_default/خرید-لباس-مردانه-تیشرت-سفید-طرحدار-آقایان-koton.jpg,https://torkjameh.com/141721-thickbox_default/خرید-لباس-مردانه-تیشرت-سفید-طرحدار-آقایان-koton.jpg,[],[],[],[],[],[],[],2950000,2950000,کوناه,[]
تیشرت مردانه,https://torkjameh.com/خرید-لباس-مردانه/48483-خرید-لباس-مردانه-تیشرت-مردانه-آقایان-koton.html,https://torkjameh.com/141719-thickbox_default/خرید-لباس-مردانه-تیشرت-مردانه-آقایان-koton.jpg,https://torkjameh.com/141718-thickbox_default/خرید-لباس-مردانه-تیشرت-مردانه-آقایان-koton.jpg,[],[],[],[],[],[],[],1050000,1050000,کوناه,[]
تیشرت یقه دار مردانه,https://torkjameh.com/خرید-لباس-مردانه/48482-خرید-لباس-مردانه-تیشرت-یقه-دار-مردانه-آقایان-koton.html,https://torkjameh.com/141717-thickbox_default/خرید-لباس-مردانه-تیشرت-یقه-دار-مردانه-آقایان-koton.jpg,https://torkjameh.com/141716-thickbox_default/خرید-لباس-مردانه-تیشرت-یقه-دار-مردانه-آقایان-koton.jpg,[],[],[],[],[],[],[],1280000,1280000,کوناه, دار 
تیشرت دکمه دار,https://torkjameh.com/خرید-لباس-مردانه/48421-خرید-لباس-مردانه-تیشرت-دکمه-دار-آقایان-tozlu.html,https://torkjameh.com/141614-thickbox_default/خرید-لباس-مردانه-تیشرت-دکمه-دار-آقایان-tozlu.jpg,https://torkjameh.com/141615-thickbox_default/خرید-لباس-مردانه-تیشرت-دکمه-دار-آقایان-tozlu.jpg,[],[],[],[],[],[],[],1800000,1800000,کوناه,[]
تیشرت یقه دیپلمات,https://torkjameh.com/خرید-لباس-مردانه/48420-خرید-لباس-مردانه-تیشرت-یقه-دیپلمات-آقایان-tozlu.html,https://torkjameh.com/141613-thickbox_default/خرید-لباس-مردانه-تیشرت-یقه-دیپلمات-آقایان-tozlu.jpg,https://torkjameh.com/141612-thickbox_default/خرید-لباس-مردانه-تیشرت-یقه-دیپلمات-آقایان-tozlu.jpg,[],[],[],[],[],[],[],[],[],کوناه, 
تیشرت طرحدار,https://torkjameh.com/خرید-لباس-مردانه/48419-خرید-لباس-مردانه-تیشرت-طرحدار-آقایان-tozlu.html,https://torkjameh.com/141610-thickbox_default/خرید-لباس-مردانه-تیشرت-طرحدار-آقایان-tozlu.jpg,https://torkjameh.com/141611-thickbox_default/خرید-لباس-مردانه-تیشرت-طرحدار-آقایان-tozlu.jpg,[],[],[],[],[],[],[],1750000,1750000,کوناه,[]
تیشرت مردانه,https://torkjameh.com/خرید-لباس-مردانه/48418-خرید-لباس-مردانه-تیشرت-مردانه-آقایان-tozlu.html,https://torkjameh.com/141609-thickbox_default/خرید-لباس-مردانه-تیشرت-مردانه-آقایان-tozlu.jpg,https://torkjameh.com/141608-thickbox_default/خرید-لباس-مردانه-تیشرت-مردانه-آقایان-tozlu.jpg,[],[],[],[],[],[],[],1550000,1550000,کوناه,[]
تیشرت مشکی طرحدار,https://torkjameh.com/خرید-لباس-مردانه/48405-خرید-لباس-مردانه-تیشرت-مشکی-طرحدار-آقایان-tozlu.html,https://torkjameh.com/141582-thickbox_default/خرید-لباس-مردانه-تیشرت-مشکی-طرحدار-آقایان-tozlu.jpg,https://torkjameh.com/141581-thickbox_default/خرید-لباس-مردانه-تیشرت-مشکی-طرحدار-آقایان-tozlu.jpg,[],[],[],[],[],[],[],1280000,1280000,کوناه,[]
تیشرت جدید مردانه,https://torkjameh.com/خرید-لباس-مردانه/48404-خرید-لباس-مردانه-تیشرت-جدید-مردانه-آقایان-tozlu.html,https://torkjameh.com/141579-thickbox_default/خرید-لباس-مردانه-تیشرت-جدید-مردانه-آقایان-tozlu.jpg,https://torkjameh.com/141580-thickbox_default/خرید-لباس-مردانه-تیشرت-جدید-مردانه-آقایان-tozlu.jpg,[],[],[],[],[],[],[],1280000,1280000,کوناه,[]
تی شرت مردانه خاص,https://torkjameh.com/خرید-لباس-مردانه/48303-خرید-لباس-مردانه-تی-شرت-مردانه-خاص-آقایان-.html,https://torkjameh.com/139663-thickbox_default/خرید-لباس-مردانه-تی-شرت-مردانه-خاص-آقایان-.jpg,[],[],[],[],[],[],[],[],1350000,1350000,کوناه,[]
تیشرت مردانه شیک,https://torkjameh.com/خرید-لباس-مردانه/47750-خرید-لباس-مردانه-تیشرت-مردانه-شیک-آقایان-lcwaikiki.html,https://torkjameh.com/137304-thickbox_default/خرید-لباس-مردانه-تیشرت-مردانه-شیک-آقایان-lcwaikiki.jpg,[],[],[],[],[],[],[],[],900000,900000,کوناه,[]
تیشرت مردانه جدید,https://torkjameh.com/خرید-لباس-مردانه/47748-خرید-لباس-مردانه-تیشرت-مردانه-جدید-آقایان-lcwaikiki.html,https://torkjameh.com/137303-thickbox_default/خرید-لباس-مردانه-تیشرت-مردانه-جدید-آقایان-lcwaikiki.jpg,[],[],[],[],[],[],[],[],1500000,1500000,کوناه,[]
تیشرت پولو مردانه,https://torkjameh.com/خرید-لباس-مردانه/47702-خرید-لباس-مردانه-تیشرت-پولو-مردانه-آقایان-defacto.html,https://torkjameh.com/136799-thickbox_default/خرید-لباس-مردانه-تیشرت-پولو-مردانه-آقایان-defacto.jpg,https://torkjameh.com/136798-thickbox_default/خرید-لباس-مردانه-تیشرت-پولو-مردانه-آقایان-defacto.jpg,[],[],[],[],[],[],[],1850000,1850000,کوناه,[]
تیشرت مردانه جدید,https://torkjameh.com/خرید-لباس-مردانه/47701-خرید-لباس-مردانه-تیشرت-مردانه-جدید-آقایان-defacto.html,https://torkjameh.com/136796-thickbox_default/خرید-لباس-مردانه-تیشرت-مردانه-جدید-آقایان-defacto.jpg,https://torkjameh.com/136797-thickbox_default/خرید-لباس-مردانه-تیشرت-مردانه-جدید-آقایان-defacto.jpg,[],[],[],[],[],[],[],2300000,2300000,کوناه,[]
تیشرت یقه دار مردانه,https://torkjameh.com/خرید-لباس-مردانه/47700-خرید-لباس-مردانه-تیشرت-یقه-دار-مردانه-آقایان-lcwaikiki.html,https://torkjameh.com/136794-thickbox_default/خرید-لباس-مردانه-تیشرت-یقه-دار-مردانه-آقایان-lcwaikiki.jpg,https://torkjameh.com/136795-thickbox_default/خرید-لباس-مردانه-تیشرت-یقه-دار-مردانه-آقایان-lcwaikiki.jpg,[],[],[],[],[],[],[],1950000,1950000,کوناه, دار 
تیشرت مردانه جدید,https://torkjameh.com/خرید-لباس-مردانه/47699-خرید-لباس-مردانه-تیشرت-مردانه-جدید-آقایان-marc.html,https://torkjameh.com/141995-thickbox_default/خرید-لباس-مردانه-تیشرت-مردانه-جدید-آقایان-marc.jpg,https://torkjameh.com/141996-thickbox_default/خرید-لباس-مردانه-تیشرت-مردانه-جدید-آقایان-marc.jpg,[],[],[],[],[],[],[],2060000,2060000,کوناه,[]
