Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Price,Discounted price
تی شرت Oversize طرح No Joke,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-space-cup/,http://www.ustclothing.com/wp-content/uploads/2021/03/28.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح deer,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-deer-3/,http://www.ustclothing.com/wp-content/uploads/2021/03/26.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Sun and Sea,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-sun-and-sea/,http://www.ustclothing.com/wp-content/uploads/2021/03/25.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح skull,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-skull/,http://www.ustclothing.com/wp-content/uploads/2021/03/24.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Weapon of Art,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-weapon-of-art/,http://www.ustclothing.com/wp-content/uploads/2021/03/23.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Pluto,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-pluto/,http://www.ustclothing.com/wp-content/uploads/2021/03/22.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح cat,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-cat/,http://www.ustclothing.com/wp-content/uploads/2021/03/21.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح notes,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-notes/,http://www.ustclothing.com/wp-content/uploads/2021/03/20.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Yoga Panda,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-yoga-panda/,http://www.ustclothing.com/wp-content/uploads/2021/03/19.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح pink floyd,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-pink-floyd/,http://www.ustclothing.com/wp-content/uploads/2021/03/18.jpg,[],[],[],[],2250000,2250000
